SYMBOL	FC
Wincr1	3.219997005
Cyp2w1	3.218435698
Gm10629	3.217421295
Pou1f1	3.216639497
Gm3159	3.216639085
Gm6637	3.216639085
A830035A12Rik	3.21663884
Tmem28	3.216636978
Asb17	3.216636566
Cntn3	3.21663584
Ttc23l	3.216634353
Gm13262	3.216634353
Ccl1	3.21663398
Cyp2e1	3.216633737
Insl5	3.21639028
4930556C24Rik	3.216389665
Bcas1os2	3.216389665
NA	3.21631613
Mstn	3.216152688
Olfr403	3.216152688
Krt26	3.216152688
Trgv4	3.216152688
Gm20751	3.216152688
Gm5089	3.216152688
Olfr15	3.216152688
Gm10494	3.216152688
Gm3227	3.216152688
Gm9926	3.216152688
NA	3.216152688
Gm1527	3.216152688
1700034I23Rik	3.216152688
Gabrg1	3.216152688
Gm20558	3.216152688
Gm6588	3.216152688
Gm4454	3.216152688
4933426K07Rik	3.215969811
Mir652	3.215589279
Prss2	3.215454852
Gm4850	3.214553957
Chrna1	3.214252897
Abhd12b	3.213808944
A530072M11Rik	3.196375581
Ccdc153	3.180896836
Ptprz1	3.16049126
Spatc1	3.134593379
H19	3.107959265
A730056A06Rik	3.096907118
Lpcat2b	3.083157008
Vmn2r2	3.072780937
Abra	3.066754254
Il23r	3.059177252
4930429H19Rik	3.052073145
Prr33	2.932532777
Il31ra	2.930308971
Il4i1b	2.911347625
Fndc8	2.899105592
Igfbp6	2.881724597
Mir30d	2.879872027
Dmc1	2.84705493
Myoz2	2.838126983
Gpr52	2.79447518
Ckm	2.78627399
Gm7969	2.771682602
NA	2.756095645
Gm20621	2.75432761
1810006J02Rik	2.742215766
Adora3	2.740875702
NA	2.739674819
Sh3rf2	2.73815749
P2rx6	2.737284041
Gm14207	2.733614052
Slitrk4	2.726560555
Ppp1r3c	2.702095102
4930412C18Rik	2.69548837
Lcp2	2.679098406
Vtcn1	2.671071106
Car3	2.668172544
Neurog1	2.66058037
Myh1	2.64155695
Anxa8	2.635254668
Skint8	2.630717425
Tppp3	2.612985596
Itprid1	2.589565307
Creb5	2.587806568
Lax1	2.585568627
Col6a1	2.585388115
Ly6g2	2.570166891
4933440M02Rik	2.556506025
Naaa	2.555851043
Mir27b	2.553705415
Avp	2.551236779
Clvs1	2.546479322
Stk31	2.53977485
Chst5	2.536041515
Atp6ap1l	2.534789947
Gm9780	2.53233136
Crb2	2.53210178
Gpr20	2.532010629
Selenov	2.530748712
Ccdc81	2.530193293
C1qtnf3	2.514519799
Gm10864	2.514268918
Vxn	2.510190785
Mas1	2.509203942
Ppbp	2.493273534
NA	2.488230664
Prh1	2.484046813
Gm19689	2.470235897
F2	2.458696038
Ppil6	2.452853575
Myo18b	2.44151715
Rec114	2.429134801
Hoxb6	2.421042006
Col6a2	2.417131612
Tma7	2.406939442
Mmrn1	2.400734169
4930479D17Rik	2.396909164
H1f7	2.396669837
Snord111	2.395951269
F630206G17Rik	2.395648223
Snord67	2.394621274
Snord82	2.394490557
Ugt1a5	2.394490557
Gm20101	2.394490557
Nmbr	2.394490557
Gprc6a	2.394490557
Atoh7	2.394490557
Gstt4	2.394490557
NA	2.394490557
NA	2.394490557
Rdh19	2.394490557
NA	2.394490557
Gm11677	2.394490557
Mir1932	2.394490557
Lrrc72	2.394490557
Scarna3b	2.394490557
Gm4814	2.394490557
Dmgdh	2.394490557
5330416C01Rik	2.394490557
NA	2.394490557
1700040F17Rik	2.394490557
Slc22a22	2.394490557
Csta1	2.394490557
1810053B23Rik	2.394490557
Cldn14	2.394490557
Btnl6	2.394490557
Dsg4	2.394490557
Gm2176	2.394490557
4933429K18Rik	2.394490557
Calhm1	2.394490557
8430437L04Rik	2.394490557
Hoxd3os1	2.394490557
Gm10757	2.394490557
Nkx2-4	2.394490557
NA	2.394490557
Cpb1	2.394490557
NA	2.394490557
4931419H13Rik	2.394490557
Vmn2r3	2.394490557
Vmn2r4	2.394490557
Vmn2r5	2.394490557
4921511C10Rik	2.394490557
4930447N08Rik	2.394490557
Mir302b	2.394490557
Clca4a	2.394490557
Gm10931	2.394490557
Mup8	2.394490557
Mup9	2.394490557
Cyp2j12	2.394490557
4921539E11Rik	2.394490557
Oog4	2.394490557
Pramef6	2.394490557
NA	2.394490557
Gm7714	2.394490557
2310034O05Rik	2.394490557
A430072P03Rik	2.394490557
Gm16063	2.394490557
Hpd	2.394490557
Gm2663	2.394490557
Gimap7	2.394490557
NA	2.394490557
Reg1	2.394490557
Noto	2.394490557
Zscan5b	2.394490557
Obox6	2.394490557
Vmn1r178	2.394490557
Arhgap33os	2.394490557
Gm6567	2.394490557
Slc5a11	2.394490557
Krtap5-2	2.394490557
Sox1ot	2.394490557
Gm7904	2.394490557
4930593C16Rik	2.394490557
Rhox2a	2.394490557
Frmpd3	2.394490557
Gapdh-ps15	2.394490557
Dnah5	2.39429533
Prss52	2.394221554
Teddm1a	2.39420954
NA	2.39420954
NA	2.39420954
Gm7538	2.39420954
Cdx2	2.39420954
Chst4	2.39420954
Mirlet7g	2.39420954
Mcf2	2.39420954
Gm20149	2.39420928
4930444G20Rik	2.39420928
Gm20169	2.39420928
Mir382	2.39420928
Ofcc1	2.39420928
Mir3079	2.39420928
1500009C09Rik	2.39420928
Krt82	2.39420928
1700049E15Rik	2.39420928
Mir210	2.39420928
Frem3	2.39420928
Myadml2	2.39420884
Gm20161	2.39420884
2210010C04Rik	2.39420884
Clec12b	2.39420884
EU599041	2.39420884
NA	2.394208442
Krtap3-2	2.394208442
Krtap4-1	2.394208442
Oc90	2.394208442
Tsga10ip	2.394208442
4930513D17Rik	2.394208442
Gm17733	2.394208442
E330034G19Rik	2.394206852
Gm6833	2.394206852
Gm6871	2.394206852
Gm1604b	2.394206078
Gm16055	2.394206078
Nat3	2.394206078
Gm6150	2.39420339
NA	2.394203375
Trappc3l	2.394114868
Cfap299	2.393924252
Mir429	2.393923705
Gm19744	2.393923705
Igkv2-137	2.393923516
Gm2396	2.393923242
Fcrlb	2.393922824
Kcna4	2.393922824
NA	2.393922824
Klf17	2.39392278
4930555A03Rik	2.393921942
Nr1h4	2.393920609
Gjd4	2.393919872
Olfr18	2.39391778
7420700N18Rik	2.393917763
Clec5a	2.393917489
BC035044	2.393916623
3110082J24Rik	2.39363448
Gm9930	2.393634282
Trdj1	2.393634282
Gm10743	2.393634193
Sp9	2.393634193
Fam24a	2.393633222
Strc	2.39363307
Mir1953	2.393632737
Ccdc87	2.393632298
Wdr88	2.393632298
NA	2.393631858
NA	2.393631858
Vip	2.393631419
Ccdc105	2.393631419
1700001L19Rik	2.393631082
Gm11563	2.393630876
Pla2g2e	2.393630876
Cfap65	2.39362747
Colec10	2.39362747
1700125H03Rik	2.393627049
Gm21319	2.393626274
Pirb	2.392952402
Mucl2	2.39284
5830416I19Rik	2.392716557
Gm4947	2.392423804
Pdzrn4	2.39146693
Kcnj9	2.391192854
Gm609	2.390975272
Mir5119	2.390885052
Gm10873	2.390804052
6330409D20Rik	2.390127093
Mir5103	2.390054033
Slc22a26	2.390051082
NA	2.389853712
Gm19723	2.389691754
Gm3115	2.389200113
Grid1	2.388695497
NA	2.388394353
Pde6b	2.388283938
Scgb3a1	2.388230911
T2	2.387929881
Gm20319	2.387874511
Ccdc184	2.387755552
Cyp2c70	2.386995626
Gm16519	2.386621046
Cysltr2	2.385836628
Pkhd1	2.385826764
NA	2.385223414
NA	2.384826415
9430018G01Rik	2.384722712
Olfr279	2.384675923
Gm5468	2.384451362
Gm17276	2.383525872
Fgf4	2.383320402
Gm2022	2.383142575
H2ac7	2.382727484
BC051019	2.381732554
Glb1l3	2.381196948
Cyp3a57	2.38103951
Cd22	2.380774611
Cnnm1	2.380770857
Slc10a5	2.379825905
2310057J18Rik	2.379803964
Grm8	2.379755612
Prr15	2.379666149
Reg3g	2.379603166
Fgb	2.379598851
Prl6a1	2.379440124
Unc5a	2.379261533
Upk3a	2.379229336
Rdh18-ps	2.378447767
Abca17	2.378389269
Klrb1b	2.37702859
Chrna9	2.376541168
2610037D02Rik	2.376202728
Olfr1328	2.375886561
BC024386	2.375786974
Gm3685	2.375467898
Fgf10	2.375458467
H2ac21	2.374754252
Gm11735	2.374588786
Rex2	2.3743005
NA	2.37423426
Iyd	2.374214644
Gm13023	2.374052488
Ptgfr	2.373990603
Syt14	2.373362623
NA	2.373285661
Ttll2	2.373239935
Gm11992	2.372836198
Dynap	2.372732185
Prss42	2.372129008
H2-M11	2.37201189
Olfr461	2.371912471
Pcdha2	2.371725363
Gm15558	2.371567702
Tomm20l	2.371357113
Gm2381	2.371260028
Rnf133	2.371046826
Gm5073	2.370787561
Prdm8	2.370700252
Pla2g1b	2.370527796
Uty	2.370374626
NA	2.370034012
Pcsk2	2.369924025
Trbj2-3	2.369569614
Nhlrc4	2.369433631
Vstm2b	2.369147687
Ms4a15	2.369109592
Gpr174	2.369069362
Rnu3b4	2.368786733
Ctnna2	2.368677171
Edn3	2.368592309
Cps1	2.368473073
Slc34a3	2.368435506
Ptchd1	2.368369864
Hsd17b6	2.368231443
Zp3	2.368135191
Cacna1s	2.367791942
Gm20026	2.367563703
U90926	2.367544772
Hoxb1	2.367241477
Platr9	2.366924203
Cmtm1	2.366508088
Topaz1	2.366505141
Mir331	2.366496222
A930003O13Rik	2.366495808
NA	2.366495445
NA	2.36649324
Gm648	2.366492875
Rsph6a	2.36649233
Olfr222	2.366491766
Rnase6	2.366491582
Gm4566	2.366491207
Gm18853	2.366490673
NA	2.366488769
NA	2.366488292
E230029C05Rik	2.366488292
NA	2.366213633
Cldn34b1	2.366213633
Bcl2l10	2.366212813
Btnl4	2.366210831
Mir302a	2.366210768
Cdh9	2.366210752
Aldob	2.366210296
Gm9961	2.366210026
Cd200r1	2.366210026
Magel2	2.366209224
NA	2.366207512
NA	2.366207165
Alppl2	2.366205932
Igfn1	2.366205932
NA	2.366205932
Gm7347	2.366205932
NA	2.366205107
