EntrezGeneID	Lum.Preg	Lum.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
16792	0	1.25583058834758	0.00929356320114489	-1.14151134237911	0.00119268363242185	39	37	6	4	6	5	9	8	1.618	1.632	0.279	0.200	0.270	0.227	0.364	0.324
51902	0	-1.08928775065225	0.00931078725700163	3.94893212257318	0.00119622297679423	1061	767	579	526	329	310	95	93	44.023	33.840	26.894	26.280	14.792	14.098	3.842	3.772
78471	0	1.53716644344941	0.00935077298260135	-4.00383360652915	0.00120208987825929	0	0	0	0	3	2	6	4	0.000	0.000	0.000	0.000	0.135	0.091	0.243	0.162
69539	0	-1.48963197009229	0.00936639144528392	2.93506968813229	0.00120478694921493	716	656	693	690	91	93	15	27	29.709	28.943	32.189	34.473	4.091	4.230	0.607	1.095
58251	0	-2.99273753486724	0.00937751019880687	0.68025002124138	0.00120737247044661	66	51	38	30	86	128	10	6	2.739	2.250	1.765	1.499	3.867	5.821	0.404	0.243
241627	0	1.70146335474863	0.00940132512038547	1.62987876614952	0.00121135584721991	34	31	32	31	153	72	224	212	1.411	1.368	1.486	1.549	6.879	3.274	9.060	8.598
67991	0	-1.14441803854261	0.00942222934273453	4.2238618744708	0.00121474269167158	1347	1396	1621	1525	230	228	71	59	55.890	61.592	75.293	76.191	10.341	10.369	2.872	2.393
11838	0	-1.46308796752914	0.00942324421628568	7.931435394911	0.00121522024276395	45051	45860	37814	32217	1417	1837	374	360	1869.277	2023.351	1756.395	1609.612	63.709	83.545	15.127	14.600
100040697	0	4.27471489387487	0.00942644267166613	-1.53685377258356	0.001215979543282	20	16	12	14	0	2	13	13	0.830	0.706	0.557	0.699	0.000	0.091	0.526	0.527
94092	0	-1.26169442381448	0.00943796302432472	4.88649841490766	0.00121781288223654	303	300	337	252	2889	3035	934	645	12.572	13.236	15.653	12.590	129.892	138.028	37.777	26.159
12704	0	-1.73956923995678	0.00946047006806177	-0.0292636456092193	0.00122210936417693	71	55	8	9	51	44	6	12	2.946	2.427	0.372	0.450	2.293	2.001	0.243	0.487
70281	0	1.67591140465678	0.00947086875887876	-1.21418397972443	0.00122414959895291	13	8	10	13	5	6	11	12	0.539	0.353	0.464	0.650	0.225	0.273	0.445	0.487
16970	0	2.4029350463732	0.00949485295330183	-1.51316158099764	0.00122829769247615	13	16	21	21	1	2	7	5	0.539	0.706	0.975	1.049	0.045	0.091	0.283	0.203
21928	0	-1.26281759965215	0.00950683890129315	4.14614522048743	0.0012301980358309	264	296	88	101	1799	2081	588	436	10.954	13.060	4.087	5.046	80.884	94.641	23.783	17.682
22371	0	1.58693403597765	0.00951730930915105	4.0246270756693	0.00123237426049147	458	484	284	305	364	192	527	483	19.004	21.354	13.191	15.238	16.366	8.732	21.315	19.589
72479	0	-1.72735793807609	0.00951730930915105	6.47743700562186	0.0012331328935003	1930	2545	1306	1154	4924	6565	1150	1011	80.080	112.286	60.661	57.656	221.387	298.569	46.514	41.002
68867	0	-1.11087206370005	0.00951736695797726	6.51366401607966	0.00123366142216247	4977	5508	6110	5079	1602	1355	460	400	206.508	243.014	283.799	253.755	72.027	61.624	18.606	16.222
69772	0	-2.57815792579402	0.00952515169208626	-1.94762352438373	0.00123572187594452	22	19	22	25	3	6	0	0	0.913	0.838	1.022	1.249	0.135	0.273	0.000	0.000
69487	0	1.17536960715453	0.00952515169208626	2.60037782932598	0.00123505696973357	179	168	126	168	114	86	134	149	7.427	7.412	5.852	8.394	5.126	3.911	5.420	6.043
208898	0	-3.88896961269113	0.00952515169208626	-2.51666369517103	0.00123559690876022	11	4	2	1	19	21	0	1	0.456	0.176	0.093	0.050	0.854	0.955	0.000	0.041
56753	0	-3.59760935074752	0.00952816402960479	3.28753098097187	0.00123669530067165	174	199	348	290	694	1130	41	50	7.220	8.780	16.164	14.489	31.203	51.391	1.658	2.028
194227	0	4.53216264766933	0.00952816402960479	-3.75699895404957	0.00123716438649234	0	0	1	0	2	0	14	18	0.000	0.000	0.046	0.000	0.090	0.000	0.566	0.730
20947	0	-1.17656878206545	0.00953506423843432	4.77948643135037	0.00123841115426149	759	579	524	563	1125	1337	306	378	31.493	25.546	24.339	28.128	50.581	60.805	12.377	15.330
330064	0	1.48910060084165	0.00953749874932677	4.14015876605727	0.00123907826203587	312	141	109	166	769	663	1292	1232	12.946	6.221	5.063	8.294	34.575	30.152	52.257	49.965
140780	0	-1.83381394405438	0.00956452374950477	2.83806937529438	0.0012439968893079	779	585	600	535	97	105	15	20	32.323	25.810	27.869	26.729	4.361	4.775	0.607	0.811
215821	0	2.16028281210212	0.00956452374950477	-0.280400748270551	0.00124372849436524	5	0	5	2	87	80	242	229	0.207	0.000	0.232	0.100	3.912	3.638	9.788	9.287
319636	0	-2.52231951959488	0.00957022107357384	1.59665999179119	0.00124614637695934	130	161	226	197	76	86	10	7	5.394	7.103	10.497	9.842	3.417	3.911	0.404	0.284
229731	0	-2.49574784643102	0.00957055034901673	3.74632662562201	0.00124679043985431	732	624	1012	812	301	419	36	42	30.372	27.531	47.006	40.569	13.533	19.056	1.456	1.703
57816	0	2.15715637656369	0.00957055034901673	-0.674561285711869	0.00124689351285435	17	16	10	14	12	5	22	24	0.705	0.706	0.464	0.699	0.540	0.227	0.890	0.973
260305	0	2.42092125671267	0.00957553543488388	0.841368673860545	0.00124859993308173	198	160	144	159	8	3	19	17	8.216	7.059	6.689	7.944	0.360	0.136	0.768	0.689
107476	0	1.47230566844223	0.00959360311449043	7.83530254877257	0.00125272075695671	1602	1369	1653	1514	10780	16360	22289	24039	66.471	60.401	76.779	75.642	484.677	744.034	901.519	974.925
16949	0	1.43870113499925	0.00959598057979917	1.25102479155374	0.00125338426940973	144	130	241	219	16	9	20	22	5.975	5.736	11.194	10.942	0.719	0.409	0.809	0.892
71643	0	1.39959432359064	0.00961836833264209	2.28073231447653	0.00125772401685897	160	128	67	73	125	69	149	163	6.639	5.647	3.112	3.647	5.620	3.138	6.027	6.611
230088	0	-1.13394608996359	0.00962896547431591	5.59477248038858	0.00126035422896364	2931	2416	2816	2340	819	901	274	220	121.614	106.594	130.798	116.910	36.823	40.976	11.082	8.922
21954	0	1.0861979554198	0.00962896547431591	0.733058484102885	0.0012608765296594	41	47	56	62	25	22	31	32	1.701	2.074	2.601	3.098	1.124	1.001	1.254	1.298
26367	0	-1.68642549388945	0.00963981785668348	0.634969837795162	0.00126283393466023	19	12	1	3	417	530	82	101	0.788	0.529	0.046	0.150	18.749	24.104	3.317	4.096
217674	0	2.48504421373739	0.00963981785668348	-2.36623254098546	0.00126301156730012	4	2	7	9	2	1	8	5	0.166	0.088	0.325	0.450	0.090	0.045	0.324	0.203
192663	0	-2.26280850686067	0.00964455793661579	-0.0701607792839699	0.00126398746717044	71	65	77	81	17	17	3	1	2.946	2.868	3.577	4.047	0.764	0.773	0.121	0.041
51793	0	-2.44193696274117	0.00966801762856435	4.121837355342	0.00126812917494507	414	381	744	725	716	1006	134	71	17.178	16.810	34.558	36.222	32.192	45.752	5.420	2.879
11520	0	-1.12561585716512	0.0096767905473248	8.4883429649252	0.00127122876966607	3724	3214	918	970	59846	78226	18445	21068	154.518	141.802	42.640	48.463	2690.723	3557.629	746.041	854.433
70494	0	2.9910538760585	0.0096767905473248	-2.7367114774957	0.00127212821022081	13	13	5	11	0	0	2	2	0.539	0.574	0.232	0.550	0.000	0.000	0.081	0.081
13655	0	-2.51344462314796	0.0096767905473248	4.99450726103773	0.00127177597259628	4394	3351	4459	5599	388	333	30	51	182.318	147.847	207.113	279.735	17.445	15.144	1.213	2.068
67884	0	-1.22085079253579	0.0096781017556641	4.47504948948338	0.00127265667150165	663	474	413	426	1184	859	238	311	27.510	20.913	19.183	21.284	53.234	39.066	9.626	12.613
665033	0	-2.08107633982074	0.00968353742112354	-3.02822415177976	0.00127444031625001	8	9	4	3	4	2	0	0	0.332	0.397	0.186	0.150	0.180	0.091	0.000	0.000
64074	0	-1.23283156862595	0.00971285067662381	2.19316013937591	0.00127982648144782	228	225	218	225	88	97	21	28	9.460	9.927	10.126	11.241	3.957	4.411	0.849	1.136
74953	0	1.61939866212985	0.00973735553343811	-0.253091102120129	0.00128474767073509	22	17	27	37	12	8	19	20	0.913	0.750	1.254	1.849	0.540	0.364	0.768	0.811
234695	0	-1.92225466558859	0.00977286716202392	1.01694731510055	0.00129115215897214	41	49	32	43	152	102	18	23	1.701	2.162	1.486	2.148	6.834	4.639	0.728	0.933
20603	0	-1.98380483612007	0.00977286716202392	1.70990070551772	0.0012912309495871	284	237	158	151	89	52	11	10	11.784	10.456	7.339	7.544	4.002	2.365	0.445	0.406
74716	0	2.67217622865066	0.00982670320288127	-2.17583358621444	0.00129906709621224	3	5	1	3	4	3	17	14	0.124	0.221	0.046	0.150	0.180	0.136	0.688	0.568
68146	0	-1.43034161090208	0.0098410938261943	6.13499875659666	0.0013017420443501	3875	3819	4866	3866	1247	1330	363	248	160.783	168.495	226.017	193.151	56.066	60.487	14.682	10.058
56089	0	2.38751950859192	0.0098410938261943	1.59965322262733	0.00130205575624544	168	105	70	60	20	38	96	86	6.971	4.633	3.251	2.998	0.899	1.728	3.883	3.488
102075	0	-1.69161742694604	0.00986331400557096	0.728119894116597	0.00130644727252862	62	40	32	19	91	88	17	17	2.573	1.765	1.486	0.949	4.091	4.002	0.688	0.689
242425	0	2.54905290289861	0.00986661571604222	-1.1118408550889	0.00130724762476427	2	0	1	1	30	65	160	163	0.083	0.000	0.046	0.050	1.349	2.956	6.471	6.611
100503377	0	-1.03069861288286	0.00987285926202293	1.70697597767136	0.00130843809786256	164	117	56	62	116	101	33	33	6.805	5.162	2.601	3.098	5.215	4.593	1.335	1.338
67149	0	-3.45326504990354	0.00987631791269989	0.771182703782933	0.00130998661007701	138	101	33	26	133	82	3	10	5.726	4.456	1.533	1.299	5.980	3.729	0.121	0.406
17480	0	2.0835059836408	0.00988893002088413	-1.86272085734491	0.00131202331415093	6	5	2	2	4	8	14	18	0.249	0.221	0.093	0.100	0.180	0.364	0.566	0.730
100503361	0	-3.10178854510586	0.00990357272442839	0.141816255476026	0.00131433043220918	161	191	84	62	21	19	1	1	6.680	8.427	3.902	3.098	0.944	0.864	0.040	0.041
235442	0	-1.03489590453175	0.00991967371298569	4.80754878702454	0.001317151109479	3288	2453	1305	1146	415	367	117	122	136.427	108.227	60.615	57.256	18.659	16.691	4.732	4.948
246154	0	-1.60222342507722	0.00991967371298569	6.67477728781755	0.00131719719011609	6150	6044	3228	2054	2908	3051	696	546	255.179	266.662	149.935	102.621	130.746	138.756	28.151	22.144
245827	0	-1.22536157766254	0.00994337652767833	5.07332622589825	0.00132071044795315	3575	3031	4917	4825	297	265	58	97	148.336	133.728	228.386	241.065	13.353	12.052	2.346	3.934
15200	0	-1.86516538583208	0.00994817883094655	6.52159248601622	0.0013220803538533	3180	2863	692	675	6020	8807	1554	1014	131.946	126.316	32.142	33.724	270.664	400.532	62.854	41.124
76917	0	-1.11514756489459	0.0099520707424562	1.13627779427576	0.00132324248174122	70	80	65	66	66	64	19	18	2.904	3.530	3.019	3.297	2.967	2.911	0.768	0.730
23945	0	-1.9950071556125	0.00995574370782921	6.3379047721279	0.00132455091237759	3295	3942	2517	2325	2338	3532	448	456	136.718	173.922	116.910	116.161	105.118	160.631	18.120	18.494
232035	0	-2.09268656503998	0.0099648271674693	0.28286070626122	0.00132649268523139	18	11	3	9	196	239	28	35	0.747	0.485	0.139	0.450	8.812	10.869	1.133	1.419
107895	0	1.2361020698402	0.00996799417470053	2.9109328309968	0.00132728102278381	330	346	261	281	82	75	133	102	13.693	15.266	12.123	14.039	3.687	3.411	5.379	4.137
381668	0	-1.02654289301989	0.00996942209044039	5.94679071094392	0.00132783796193363	1849	1273	943	1073	3208	2505	814	941	76.720	56.165	43.801	53.609	144.234	113.925	32.924	38.163
71785	0	1.33587649722335	0.00997345182704736	2.44465503488562	0.00132910859551733	48	62	28	32	248	354	479	456	1.992	2.735	1.301	1.599	11.150	16.100	19.374	18.494
100861787	0	2.2875087581139	0.00997699082582026	-0.891140118457743	0.00133139960118932	13	10	6	10	6	11	29	23	0.539	0.441	0.279	0.500	0.270	0.500	1.173	0.933
74053	0	-3.33828763654926	0.00997699082582026	1.20769596096534	0.00133100010928298	164	168	172	189	89	44	4	3	6.805	7.412	7.989	9.443	4.002	2.001	0.162	0.122
16535	0	1.79664949001778	0.0100116190107319	0.861669815467413	0.00133824687685305	6	16	14	7	92	133	228	253	0.249	0.706	0.650	0.350	4.136	6.049	9.222	10.261
67552	0	1.51981255811998	0.0100225117388171	-0.53237497676385	0.00134007166043127	104	89	97	87	2	1	3	3	4.315	3.927	4.505	4.347	0.090	0.045	0.121	0.122
13178	0	1.15233263139797	0.0100296231012496	3.56948461529564	0.00134139151451644	456	290	199	226	236	205	299	317	18.921	12.795	9.243	11.291	10.611	9.323	12.094	12.856
68815	0	-1.24177886563794	0.0100328984806029	4.71326626643677	0.00134318664456597	990	954	852	617	929	718	204	231	41.078	42.091	39.574	30.826	41.769	32.654	8.251	9.368
72281	0	1.54576026925745	0.0100328984806029	-0.0946598934639663	0.00134290411909192	7	2	5	4	83	61	113	153	0.290	0.088	0.232	0.200	3.732	2.774	4.570	6.205
14239	0	-1.48674456495258	0.0100328984806029	1.73552231439077	0.00134330613970028	68	46	18	15	480	314	95	80	2.821	2.030	0.836	0.749	21.581	14.280	3.842	3.244
60530	0	2.11899910725724	0.0100622434070988	0.441740588036249	0.0013490862421527	46	27	6	7	55	23	101	98	1.909	1.191	0.279	0.350	2.473	1.046	4.085	3.974
16775	0	-2.05331406523742	0.0100727703437528	4.67129475564442	0.00135167158084075	1506	928	1283	1486	770	584	96	107	62.488	40.944	59.593	74.243	34.620	26.560	3.883	4.339
12153	0	-1.38746131747027	0.0100727703437528	5.52851343595328	0.00135236986058184	4343	4561	4780	5508	460	476	107	117	180.202	201.232	222.023	275.188	20.682	21.648	4.328	4.745
243372	0	1.1085799146311	0.0100773710155972	0.410254614331243	0.00135519301894874	32	28	34	45	23	21	31	29	1.328	1.235	1.579	2.248	1.034	0.955	1.254	1.176
19240	0	-1.79156539966319	0.0100773710155972	4.98416734170407	0.00135496939301059	1659	1940	1427	1127	743	866	147	143	68.836	85.593	66.282	56.307	33.406	39.385	5.946	5.800
72224	0	-1.17883313790537	0.0100861448556539	0.514779331303254	0.00135711511597654	69	67	61	52	33	30	7	10	2.863	2.956	2.833	2.598	1.484	1.364	0.283	0.406
14107	0	-1.21565404830721	0.0101054967877687	8.05421578272945	0.00136009077779381	11509	14868	17221	16576	4833	4571	1298	1247	477.537	655.979	799.886	828.163	217.295	207.884	52.500	50.573
