EntrezGeneID	Basal.Preg	Basal.Lac	FDR	AveExpr	P value	MCL1.DI	MCL1.DJ	MCL1.DK	MCL1.DL	MCL1.LC	MCL1.LD	MCL1.LE	MCL1.LF	MCL1.DI CPM	MCL1.DJ CPM	MCL1.DK CPM	MCL1.DL CPM	MCL1.LC CPM	MCL1.LD CPM	MCL1.LE CPM	MCL1.LF CPM
66204	0	0.489497541847982	0.0775542463916746	2.79332103203891	0.015753964249179	192	214	244	245	149	130	63	70	7.967	9.442	11.333	12.241	6.699	5.912	2.548	2.839
15356	0	0.391300141513652	0.0775715776537152	3.74137674784668	0.0157603389309325	252	231	270	271	245	245	385	379	10.456	10.192	12.541	13.540	11.015	11.142	15.572	15.371
11846	0	0.937466996245864	0.0775741356677814	2.0469215387885	0.0157720279902668	14	17	22	29	87	61	212	209	0.581	0.750	1.022	1.449	3.912	2.774	8.575	8.476
215476	0	0.295939840312147	0.0775741356677814	4.66949091773752	0.0157722754222069	631	549	634	602	642	600	473	470	26.182	24.222	29.448	30.077	28.865	27.287	19.131	19.061
20104	0	-0.316924037528215	0.0775741356677814	4.52047718292871	0.0157694795580616	673	655	471	441	790	686	314	279	27.924	28.899	21.877	22.033	35.519	31.198	12.700	11.315
69807	0	-0.411314353383396	0.0775741356677814	3.54087662659971	0.0157699303240596	584	455	314	350	226	187	88	85	24.232	20.075	14.585	17.487	10.161	8.505	3.559	3.447
100039674	0	-5.16005426753666	0.0776024329863727	-2.79593452339911	0.0157808840323662	7	4	0	0	0	0	0	0	0.290	0.176	0.000	0.000	0.000	0.000	0.000	0.000
21419	0	0.731877689895793	0.0776315509572353	5.37719491496044	0.0157896616391919	1545	1787	2114	2638	200	61	99	85	64.106	78.843	98.192	131.799	8.992	2.774	4.004	3.447
65086	0	-2.0896919030993	0.0776579782999061	-2.42371302315088	0.015797894036579	9	7	2	1	0	0	0	0	0.373	0.309	0.093	0.050	0.000	0.000	0.000	0.000
71844	0	-0.338014674990666	0.0778476989425824	4.94743102292484	0.0158393529987299	977	809	627	577	1067	825	400	486	40.538	35.693	29.123	28.828	47.973	37.520	16.179	19.710
56812	0	0.320960307777884	0.0780502419018784	5.53808237798387	0.0158834352978141	1291	1048	1316	1173	1309	1196	708	614	53.567	46.238	61.126	58.605	58.854	54.393	28.636	24.901
