SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Ppan,0,-1.56814803810264,1.16805665649359e-18,5.43985310159471,4.72740837463834e-21,1500,1291,1450,1326,434,363,1052,1124,1611,1607,317,432,73.558,59.471,60.164,58.503,20.159,18.136,47.299,51.118,69.357,73.790,12.822,17.520
Cyp2s1,0,2.07615527380237,1.38432872304369e-18,3.30562732929604,5.65364760505719e-21,12,26,180,208,645,752,5,10,482,453,5,4,0.588,1.198,7.469,9.177,29.959,37.571,0.225,0.455,20.751,20.801,0.202,0.162
Rrm2,0,-1.79401053501372,2.0313170160991e-18,5.19378496153041,8.37070921678867e-21,573,606,1204,965,301,230,643,378,1028,1062,1249,1011,28.099,27.916,49.957,42.576,13.981,11.491,28.910,17.191,44.258,48.765,50.518,41.002
Cldn7,0,-3.23009802560293,2.0524751841921e-18,7.13485283668646,8.5334153505908e-21,6498,7959,368,204,24,27,7208,7104,363,222,3293,2852,318.653,366.636,15.269,9.001,1.115,1.349,324.077,323.082,15.628,10.194,133.191,115.666
Zfp408,0,1.17539853434812,2.18728529878596e-18,4.61909534140158,9.17438184118621e-21,713,814,563,505,973,1076,428,362,630,576,154,153,34.964,37.497,23.360,22.281,45.194,53.759,19.243,16.463,27.123,26.449,6.229,6.205
Csf1,0,-2.81571757201668,2.59285036220551e-18,8.16535185360992,1.09708889824362e-20,2668,2258,19712,17860,2540,2006,7862,10604,7414,10574,486,467,130.835,104.016,817.899,787.986,117.979,100.223,353.482,482.258,319.189,485.538,19.657,18.940
Sync,0,3.66827518758928,2.85844493855666e-18,2.04939579336157,1.21998459425502e-20,13,14,37,32,436,314,7,8,176,77,0,5,0.638,0.645,1.535,1.412,20.251,15.688,0.315,0.364,7.577,3.536,0.000,0.203
Fstl3,0,-1.66366255409169,3.39433438504785e-18,4.39807293347979,1.47367989048768e-20,271,215,1361,1262,382,323,116,159,1066,1149,17,24,13.289,9.904,56.471,55.680,17.743,16.138,5.215,7.231,45.894,52.760,0.688,0.973
Lao1,0,2.09648773363665,4.62810111208894e-18,11.3153297300596,2.02635870465648e-20,355,776,518,378,1570,1670,12061,16669,5,18,190454,193519,17.409,35.747,21.493,16.677,72.924,83.436,542.272,758.087,0.215,0.827,7703.257,7848.347
Angptl1,0,2.1773106619632,5.34525434753776e-18,-0.0911285899687221,2.36002252365625e-20,4,1,18,20,84,63,0,0,23,20,0,2,0.196,0.046,0.747,0.882,3.902,3.148,0.000,0.000,0.990,0.918,0.000,0.081
