SYMBOL,basal.pregnant,basal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Dok1,0,-1.03663179865332,4.29454410728921e-11,4.16235255185785,5.37232788725977e-13,292,276,854,815,369,324,369,294,518,430,218,204,14.319,12.714,35.435,35.958,17.139,16.188,16.591,13.371,22.301,19.745,8.817,8.273
Cutal,0,2.28556620659665,4.35338447686411e-11,3.18970643496282,5.461952634794e-13,623,521,14,24,72,87,92,100,50,41,304,385,30.551,24.000,0.581,1.059,3.344,4.347,4.136,4.548,2.153,1.883,12.296,15.614
Sema3f,0,1.16054195729395,4.38517103180643e-11,5.36442986323735,5.51796789020125e-13,735,812,1098,1149,2031,2251,245,320,1623,1265,160,143,36.043,37.405,45.559,50.694,94.336,112.463,11.015,14.553,69.874,58.086,6.471,5.800
Celsr1,0,1.34772645667759,4.67572572339765e-11,4.40493926971092,5.90078341044701e-13,541,455,248,238,521,532,51,62,2244,1470,50,53,26.530,20.960,10.290,10.501,24.200,26.580,2.293,2.820,96.609,67.500,2.022,2.149
Cgref1,0,-2.97873106707249,5.10752209196568e-11,3.29710678392357,6.46450421147281e-13,488,680,434,382,54,34,188,251,95,263,24,15,23.931,31.325,18.008,16.854,2.508,1.699,8.453,11.415,4.090,12.076,0.971,0.608
Sema5b,0,1.77419902667907,5.4413580387271e-11,-0.236344466331572,6.907055165241e-13,1,9,13,26,57,57,0,0,17,30,1,0,0.049,0.415,0.539,1.147,2.648,2.848,0.000,0.000,0.732,1.378,0.040,0.000
Cdca3,0,-2.79363699491474,5.7664361910236e-11,2.93186062410801,7.34091365427044e-13,209,293,137,86,19,8,279,138,109,121,290,240,10.249,13.497,5.684,3.794,0.883,0.400,12.544,6.276,4.693,5.556,11.730,9.733
Klc3,0,1.24265553318343,6.08781719063537e-11,5.07309157628091,7.77244403822978e-13,835,1176,290,359,608,705,1183,1218,810,748,535,516,40.947,54.173,12.033,15.839,28.241,35.223,53.189,55.393,34.872,34.347,21.639,20.927
Smim3,0,-1.44450462270941,6.19636922031814e-11,6.67103926823595,7.93383306475849e-13,1816,2014,5552,4584,1895,1274,968,964,5047,7044,103,89,89.054,92.776,230.366,202.247,88.019,63.651,43.522,43.842,217.284,323.447,4.166,3.609
Cdca7,0,-1.73568713543353,7.22110068805949e-11,3.31423552319634,9.29983222440082e-13,313,273,513,400,113,119,82,47,458,396,63,106,15.349,12.576,21.286,17.648,5.249,5.945,3.687,2.138,19.718,18.184,2.548,4.299
Dusp9,0,-1.58027613585094,7.22110068805949e-11,3.35434108929352,9.32560558338748e-13,184,130,628,540,184,148,116,83,475,489,20,13,9.023,5.989,26.057,23.825,8.546,7.394,5.215,3.775,20.450,22.454,0.809,0.527
Kctd6,0,-1.29832403071925,7.83082749371719e-11,3.49040140603858,1.01418421494111e-12,196,192,458,426,169,137,282,240,230,265,210,199,9.612,8.845,19.004,18.795,7.850,6.845,12.679,10.915,9.902,12.168,8.494,8.071
Rit1,0,1.07405207437375,9.0319328168042e-11,4.45220567234146,1.17638773212726e-12,481,612,228,250,443,416,895,837,257,207,456,485,23.588,28.192,9.460,11.030,20.577,20.784,40.240,38.066,11.064,9.505,18.444,19.670
Nectin4,0,-2.9015201962815,9.30121034533953e-11,4.64883623960483,1.21488269347494e-12,2447,2425,58,32,8,2,851,897,78,64,264,204,119.997,111.709,2.407,1.412,0.372,0.100,38.262,40.795,3.358,2.939,10.678,8.273
F2rl1,0,1.2057922996705,9.30213928730325e-11,5.61013215625241,1.21842657429632e-12,2373,2777,287,249,508,542,1377,1318,3061,2108,143,108,116.369,127.924,11.908,10.986,23.596,27.079,61.911,59.941,131.783,96.795,5.784,4.380
Grpel2,0,-1.17292491234178,9.77651036165917e-11,4.43530577005605,1.28415843081509e-12,974,920,414,350,166,122,1116,1145,167,180,205,191,47.764,42.380,17.178,15.442,7.710,6.095,50.176,52.073,7.190,8.265,8.292,7.746
Ticrr,0,-2.71933090001732,1.1644897257519e-10,2.44324722016493,1.53814272616701e-12,192,187,67,51,8,7,112,76,149,117,213,204,9.415,8.614,2.780,2.250,0.372,0.350,5.036,3.456,6.415,5.372,8.615,8.273
Mphosph10,0,-1.2478854312458,1.19102643157342e-10,4.45519691033918,1.58195865115716e-12,664,628,695,510,248,182,478,358,655,757,409,404,32.562,28.929,28.837,22.501,11.519,9.093,21.491,16.281,28.199,34.760,16.543,16.385
Ccdc137,0,-1.11981045207412,1.42394721070625e-10,4.3986737955853,1.89657047822091e-12,724,662,756,585,276,247,448,367,757,872,182,195,35.504,30.495,31.368,25.810,12.820,12.341,20.142,16.691,32.590,40.041,7.361,7.908
Ppp1r10,0,1.86835125407611,1.44426949996608e-10,7.39590704740901,1.93957970303404e-12,3072,4014,2506,2302,6307,8583,1703,1882,8320,6007,1470,1434,150.646,184.907,103.980,101.565,292.949,428.820,76.568,85.591,358.194,275.830,59.457,58.157
Mbp,0,-1.38290391665025,1.44426949996608e-10,4.90197615413758,1.93703971120152e-12,1870,1746,329,372,139,91,1000,1089,386,458,439,403,91.702,80.431,13.651,16.413,6.456,4.547,44.961,49.526,16.618,21.031,17.756,16.344
Rpl12,0,-1.04164751308704,1.44426949996608e-10,6.66544405676456,1.9313047289984e-12,4389,4104,2706,2535,1139,1029,2888,2572,2861,3215,962,860,215.230,189.053,112.279,111.845,52.905,51.410,129.847,116.972,123.172,147.627,38.910,34.878
Naf1,0,-1.0349852026591,1.44690203512599e-10,4.73692551955656,1.94843866535234e-12,823,649,1109,988,449,421,389,332,980,1003,255,258,40.359,29.897,46.015,43.591,20.855,21.034,17.490,15.099,42.191,46.056,10.314,10.463
Deptor,0,1.16220540699334,1.45760866249724e-10,4.345901777423,1.96821950453102e-12,170,196,299,349,698,544,185,149,412,336,700,797,8.337,9.029,12.406,15.398,32.421,27.179,8.318,6.776,17.737,15.428,28.313,32.323
Pmepa1,0,-2.23357505972053,1.49684840437409e-10,8.01952152920699,2.03221995369233e-12,8195,8420,10213,11019,2545,1332,1716,1646,14228,19716,758,916,401.871,387.873,423.762,486.160,118.211,66.549,77.153,74.858,612.546,905.322,30.659,37.149
Arhgef10,0,1.14753990057327,1.63900722666891e-10,5.83265040423915,2.23125454898081e-12,504,491,1859,2201,4054,3652,128,168,1672,1605,22,15,24.715,22.618,77.134,97.108,188.301,182.460,5.755,7.640,71.983,73.699,0.890,0.608
Heatr1,0,-1.11606023089721,1.70652150209541e-10,5.56617839733404,2.33150761853661e-12,1666,1494,1335,956,468,426,1422,1253,1697,1265,592,664,81.698,68.822,55.392,42.179,21.738,21.284,63.934,56.985,73.060,58.086,23.945,26.929
Galnt2,0,1.11109810493521,1.70652150209541e-10,5.7179093704453,2.33572242826996e-12,873,869,982,1250,2058,2075,605,582,2443,1915,540,519,42.811,40.031,40.746,55.150,95.591,103.670,27.201,26.469,105.176,87.933,21.841,21.049
Megf10,0,-2.41449807510693,1.70940441598912e-10,-0.828263683602818,2.34595771427919e-12,0,2,53,36,9,5,3,7,2,15,0,1,0.000,0.092,2.199,1.588,0.418,0.250,0.135,0.318,0.086,0.689,0.000,0.041
Sh2b2,0,-1.43933476487473,1.76349297762967e-10,3.24968849920493,2.43316482067451e-12,199,210,363,299,105,102,114,72,702,617,28,20,9.759,9.674,15.062,13.192,4.877,5.096,5.126,3.274,30.223,28.331,1.133,0.811
Rubcn,0,1.08544125467153,1.77204451575168e-10,5.29233503362542,2.45148363781829e-12,816,842,678,702,1200,1296,530,661,880,804,791,924,40.015,38.787,28.132,30.972,55.738,64.750,23.829,30.062,37.886,36.918,31.993,37.474
Dysf,0,1.00039486195087,1.90990893594612e-10,5.13264115483517,2.64923532452145e-12,128,187,1421,1550,2615,2464,20,20,761,732,23,21,6.277,8.614,58.961,68.386,121.462,123.105,0.899,0.910,32.763,33.612,0.930,0.852
Top2a,0,-1.50011601424078,2.12384957746472e-10,5.74573967902757,2.95380676361038e-12,1695,1858,1475,1370,508,350,907,523,1695,1815,1362,982,83.120,85.590,61.201,60.445,23.596,17.487,40.779,23.785,72.973,83.341,55.089,39.826
Ect2,0,-1.73169746288643,2.22166831435876e-10,3.94760892323244,3.09802528106983e-12,470,564,271,204,63,58,522,337,316,294,530,342,23.048,25.981,11.244,9.001,2.926,2.898,23.470,15.326,13.604,13.500,21.437,13.870
Acvrl1,0,1.25518544291315,2.23122140988491e-10,5.01345626222278,3.11955603869262e-12,447,587,575,783,1483,1303,534,553,596,665,471,523,21.920,27.041,23.858,34.546,68.883,65.100,24.009,25.150,25.659,30.536,19.050,21.211
Wdr47,0,1.12203337308115,2.27559149406709e-10,4.74571100434028,3.1899641607107e-12,540,746,480,536,973,917,544,572,828,628,313,285,26.481,34.365,19.916,23.648,45.194,45.815,24.459,26.014,35.647,28.837,12.660,11.558
Fosb,0,1.1084596641089,2.38628513780665e-10,11.3692920736655,3.35391634218382e-12,107996,99414,42923,49960,77089,94000,22320,30302,108006,72443,26668,26812,5295.969,4579.570,1780.981,2204.244,3580.650,4696.387,1003.525,1378.100,4649.891,3326.447,1078.636,1087.386
Fgf12,0,-1.89184902854294,2.48316396834165e-10,-0.571333390091733,3.50835190346662e-12,1,5,69,54,12,16,1,0,0,6,0,0,0.049,0.230,2.863,2.382,0.557,0.799,0.045,0.000,0.000,0.276,0.000,0.000
Hilpda,0,-1.60744263334782,2.53975892065699e-10,5.76601889907124,3.59995529809998e-12,3051,3648,1207,823,274,288,1667,2013,841,1376,373,368,149.617,168.047,50.081,36.311,12.727,14.389,74.950,91.549,36.207,63.183,15.087,14.925
Prune2,0,1.37249327513386,2.56479669601986e-10,3.22056129396285,3.65199720872617e-12,51,32,335,286,666,699,3,6,254,246,11,6,2.501,1.474,13.900,12.618,30.935,34.923,0.135,0.273,10.935,11.296,0.445,0.243
Uaca,0,1.14739451023964,2.70651548833737e-10,6.06622041940654,3.86374778128297e-12,1216,1597,1493,1119,2590,2311,1589,1469,1690,2133,607,684,59.631,73.567,61.948,49.370,120.301,115.461,71.443,66.808,72.758,97.943,24.551,27.740
Hmmr,0,-2.0822715523475,2.75637045324633e-10,3.38663821041358,3.94506091582775e-12,221,225,180,126,35,26,192,118,179,176,603,390,10.838,10.365,7.469,5.559,1.626,1.299,8.632,5.367,7.706,8.082,24.389,15.817
Mcam,0,1.146521439263,2.76624488059206e-10,6.78393271155318,3.979549462127e-12,1283,1311,2924,3112,6204,5221,605,587,6145,4784,140,147,62.916,60.392,121.324,137.302,288.165,260.849,27.201,26.696,264.555,219.672,5.663,5.962
Rec114,0,2.42913480078856,2.76624488059206e-10,1.842661815471,3.97568296373634e-12,34,45,32,37,154,164,60,101,86,122,48,56,1.667,2.073,1.328,1.632,7.153,8.194,2.698,4.593,3.702,5.602,1.941,2.271
Tusc2,0,1.03208690672083,3.00054525223159e-10,4.48289773782358,4.33869636162851e-12,399,386,497,497,896,837,311,315,780,863,184,244,19.566,17.781,20.622,21.928,41.618,41.818,13.983,14.326,33.581,39.627,7.442,9.896
Mx2,0,1.49519177585893,3.01415981957997e-10,2.92941219393165,4.36947264032712e-12,78,67,243,173,546,448,20,12,229,223,27,39,3.825,3.086,10.083,7.633,25.361,22.383,0.899,0.546,9.859,10.240,1.092,1.582
Cenpa,0,-2.23303315171825,3.23781636100815e-10,2.88264109110742,4.70560897236182e-12,208,294,164,131,25,28,214,133,162,186,241,154,10.200,13.543,6.805,5.780,1.161,1.399,9.622,6.049,6.974,8.541,9.748,6.246
Tcf7,0,-1.13202635313955,3.32118866501078e-10,4.45308564402549,4.83899595770363e-12,211,181,1104,743,380,332,132,134,1829,1670,2,1,10.347,8.338,45.808,32.781,17.650,16.587,5.935,6.094,78.742,76.683,0.081,0.041
Map1a,0,1.56112832061435,3.5012084866174e-10,3.14653971737394,5.11416817832558e-12,7,8,238,314,729,669,3,5,261,204,4,5,0.343,0.369,9.875,13.854,33.861,33.424,0.135,0.227,11.237,9.367,0.162,0.203
Dbndd2,0,1.16256545240697,3.59086021279378e-10,5.00403436339159,5.25833314210208e-12,1273,1344,634,705,1344,1219,363,473,1038,801,83,106,62.426,61.912,26.306,31.105,62.426,60.903,16.321,21.511,44.688,36.780,3.357,4.299
Ptprt,0,-1.94417733442957,3.70718969618024e-10,2.1488341324523,5.44232197202221e-12,2,6,305,360,87,61,2,2,173,200,24,25,0.098,0.276,12.655,15.883,4.041,3.048,0.090,0.091,7.448,9.184,0.971,1.014
Osgin2,0,1.2752531574384,3.88126865376003e-10,4.30639053631103,5.71215814233052e-12,656,571,469,542,939,1150,161,163,369,431,68,91,32.169,26.303,19.460,23.913,43.615,57.456,7.239,7.413,15.886,19.791,2.750,3.691
Cd59a,0,1.30586046982837,3.95342526280995e-10,5.41292791868037,5.83289867319177e-12,677,740,830,1089,2305,1775,902,1153,733,680,343,336,33.199,34.089,34.439,48.047,107.063,88.682,40.555,52.437,31.557,31.224,13.873,13.627
Zscan26,0,1.14715244919226,4.06409433086692e-10,4.974766928367,6.01113330515657e-12,1075,1132,378,306,539,743,576,555,793,596,721,787,52.716,52.146,15.684,13.501,25.036,37.121,25.897,25.241,34.140,27.367,29.162,31.918
Dkk3,0,1.42722278832782,4.20389916652004e-10,6.46533144130755,6.23338373048154e-12,98,90,1680,2466,4834,4764,153,168,5892,5382,208,139,4.806,4.146,69.707,108.800,224.531,238.017,6.879,7.640,253.663,247.131,8.413,5.637
2010204K13Rik,0,-4.25526058290165,4.23229940590383e-10,-0.030986294847629,6.30663843184463e-12,39,29,34,16,1,1,29,28,31,29,11,2,1.913,1.336,1.411,0.706,0.046,0.050,1.304,1.273,1.335,1.332,0.445,0.081
Proser2,0,-1.28041298074106,4.23515152624728e-10,4.02531869267715,6.32647087698736e-12,367,451,303,249,113,80,820,853,94,83,351,364,17.997,20.776,12.572,10.986,5.249,3.997,36.868,38.793,4.047,3.811,14.197,14.762
Amhr2,0,1.49467902166046,4.71741158685381e-10,0.251489613802601,7.08130818014727e-12,8,14,33,34,78,83,5,10,23,15,1,1,0.392,0.645,1.369,1.500,3.623,4.147,0.225,0.455,0.990,0.689,0.040,0.041
Adamts1,0,1.48696863732797,4.71741158685381e-10,9.65862688594438,7.08158478029491e-12,1704,2059,16949,22689,45908,49457,407,443,55599,43471,285,385,83.562,94.849,703.256,1001.043,2132.347,2470.949,18.299,20.147,2393.657,1996.107,11.527,15.614
Car2,0,-2.20880236868893,4.95071430979669e-10,6.53369256902205,7.46823969615013e-12,1349,2162,322,128,36,45,6600,5098,47,67,2959,2647,66.153,99.594,13.361,5.647,1.672,2.248,296.741,231.851,2.023,3.077,119.682,107.352
Laptm5,0,-2.66342345380594,5.08255077570229e-10,-0.504321807159026,7.70451789833821e-12,13,12,39,37,6,4,6,5,15,18,9,8,0.638,0.553,1.618,1.632,0.279,0.200,0.270,0.227,0.646,0.827,0.364,0.324
Cenpf,0,-2.43362218607035,5.60200228984405e-10,3.12337530621243,8.53316512011272e-12,309,339,191,165,40,16,238,116,208,223,282,180,15.153,15.616,7.925,7.280,1.858,0.799,10.701,5.276,8.955,10.240,11.406,7.300
Eppk1,0,1.6465548522253,5.69550207983271e-10,5.66913785852687,8.69654278351145e-12,2143,1748,478,762,1793,1558,147,140,4198,2592,64,53,105.090,80.523,19.833,33.620,83.282,77.840,6.609,6.367,180.733,119.020,2.589,2.149
Yrdc,0,-1.0072809043423,6.13497974906041e-10,5.9000160194932,9.41273246020159e-12,1649,1584,1752,1363,708,606,1778,1268,1937,1830,947,959,80.865,72.968,72.695,60.136,32.885,30.277,79.940,57.667,83.392,84.030,38.303,38.893
Armcx1,0,1.00705580180498,6.64840839843311e-10,4.23424848701872,1.02493951909322e-11,296,300,447,428,747,750,308,325,475,456,222,295,14.515,13.820,18.547,18.883,34.697,37.471,13.848,14.781,20.450,20.939,8.979,11.964
Bag4,0,1.45179400788657,6.74541989543144e-10,3.37589217887926,1.04237696606984e-11,353,312,106,100,211,268,204,160,349,280,205,222,17.311,14.372,4.398,4.412,9.801,13.390,9.172,7.277,15.025,12.857,8.292,9.003
Syne2,0,1.20448185821027,7.10090299900826e-10,6.62224823272382,1.09992279428326e-11,1699,1517,2155,2771,5498,4262,535,532,4684,4557,280,295,83.317,69.882,89.416,122.257,255.373,212.936,24.054,24.195,201.656,209.249,11.325,11.964
Champ1,0,-1.05505936218883,7.19994572609147e-10,4.19759355277957,1.11791349807226e-11,640,658,661,527,216,268,337,330,531,536,218,243,31.385,30.311,27.427,23.251,10.033,13.390,15.152,15.008,22.861,24.612,8.817,9.855
Prdm1,0,-1.4912399297439,7.30976441210934e-10,6.0233063919986,1.13765419858061e-11,180,155,5630,4102,1692,1242,162,132,2493,3829,73,54,8.827,7.140,233.603,180.981,78.590,62.052,7.284,6.003,107.329,175.821,2.953,2.190
Csf1r,0,-4.08910727875967,7.42519951262681e-10,0.17658729579425,1.15835188688096e-11,34,23,75,50,6,0,28,18,12,41,6,1,1.667,1.060,3.112,2.206,0.279,0.000,1.259,0.819,0.517,1.883,0.243,0.041
Krt15,0,1.96927875003218,7.43086384310783e-10,8.64617396824123,1.16196958435587e-11,303,428,7980,11269,35136,29786,121,133,14510,14327,65,110,14.859,19.716,331.110,497.190,1632.006,1488.155,5.440,6.049,624.687,657.869,2.629,4.461
Sh2d5,0,-1.89632431562061,7.45337677301133e-10,3.8804264035872,1.17371693544606e-11,108,200,1060,751,243,169,53,31,758,1049,10,18,5.296,9.213,43.982,33.134,11.287,8.444,2.383,1.410,32.634,48.168,0.404,0.730
Mcm5,0,-2.28599322354067,7.61153858277073e-10,5.55583226291877,1.20142391258274e-11,2027,1899,726,416,111,86,1923,643,1330,1119,1139,1100,99.401,87.479,30.124,18.354,5.156,4.297,86.460,29.243,57.259,51.382,46.069,44.612
Atad3a,0,-1.15946376587535,7.86262397468281e-10,5.3990000267255,1.24394875054771e-11,1335,1237,1141,780,360,366,1415,997,1214,1013,712,828,65.466,56.983,47.343,34.414,16.721,18.286,63.620,45.342,52.265,46.515,28.798,33.580
Fgl2,0,-1.76042509989049,8.302426171244e-10,4.18800897404573,1.31658474550431e-11,229,349,572,817,198,155,100,85,1088,1634,96,107,11.230,16.077,23.734,36.046,9.197,7.744,4.496,3.866,46.841,75.030,3.883,4.339
Oxtr,0,1.96774397639963,8.49474282354447e-10,8.70494767513658,1.35020747627625e-11,481,372,9204,12698,35996,37615,861,902,10790,7011,210,296,23.588,17.136,381.897,560.238,1671.952,1879.304,38.711,41.022,464.533,321.932,8.494,12.005
Utp25,0,-1.29543734454358,8.78034338193871e-10,3.87658484917934,1.39883317428142e-11,439,392,510,398,143,170,380,420,491,399,154,194,21.528,18.058,21.161,17.560,6.642,8.493,17.085,19.101,21.139,18.321,6.229,7.868
Tmem266,0,-2.23595994516508,8.82185175151965e-10,0.607010839712159,1.4086918798188e-11,12,22,97,60,16,12,16,6,24,15,55,51,0.588,1.013,4.025,2.647,0.743,0.600,0.719,0.273,1.033,0.689,2.225,2.068
Clec2d,0,1.28118623248101,8.8495953793056e-10,5.37065798159223,1.41637808234223e-11,687,547,799,699,1788,1313,399,421,661,823,979,1209,33.689,25.198,33.152,30.840,83.049,65.600,17.939,19.147,28.457,37.791,39.597,49.032
Mcm6,0,-1.95835269725925,9.14176971820503e-10,5.81110555446881,1.46650413817189e-11,2725,2317,918,598,173,156,2023,774,1429,1291,1294,1318,133.630,106.734,38.090,26.384,8.036,7.794,90.956,35.201,61.522,59.280,52.338,53.453
Wdr77,0,-1.05453429104758,9.24310292333982e-10,5.63636715644796,1.4861606304498e-11,1592,1607,1600,1119,593,514,1355,1116,1747,1317,642,709,78.069,74.027,66.388,49.370,27.544,25.680,60.922,50.754,75.212,60.474,25.967,28.754
Lss,0,1.19221138371532,9.28994270844777e-10,5.08053523835182,1.49710986655143e-11,401,333,386,278,675,610,476,443,464,314,1393,1714,19.664,15.340,16.016,12.265,31.353,30.477,21.401,20.147,19.976,14.418,56.342,69.513
Azin2,0,1.55445457337643,9.77321438944597e-10,3.4120954243755,1.57858681959115e-11,130,115,259,322,828,637,22,24,280,330,22,11,6.375,5.298,10.747,14.207,38.459,31.826,0.989,1.091,12.055,15.153,0.890,0.446
Tcf19,0,-1.55324873094309,1.01329499834287e-9,3.8526347983455,1.64042017466008e-11,385,411,329,254,77,91,290,153,338,348,496,481,18.880,18.933,13.651,11.207,3.577,4.547,13.039,6.958,14.552,15.980,20.062,19.507
Rpa1,0,1.07332351267432,1.01776652669991e-9,5.67735932763878,1.65140379805975e-11,998,977,1194,1200,2206,2090,795,503,1306,1015,752,729,48.940,45.006,49.542,52.944,102.465,104.420,35.744,22.876,56.226,46.607,30.416,29.565
Smad3,0,-1.04418756789188,1.02738591081015e-9,6.66415443829098,1.67079205481469e-11,3124,3247,3120,2871,1182,1287,3312,3104,2064,1778,1162,1585,153.196,149.575,129.456,126.669,54.902,64.301,148.910,141.166,88.860,81.642,46.999,64.281
Dyrk3,0,-1.21196482796069,1.10693106339791e-9,4.49331734772078,1.80878930021494e-11,931,833,301,222,89,102,1150,1005,473,375,329,297,45.655,38.373,12.489,9.795,4.134,5.096,51.705,45.706,20.364,17.219,13.307,12.045
Zbtb4,0,1.15983369422121,1.10693106339791e-9,5.65630601506076,1.81237103356293e-11,1087,1064,1300,1392,2589,2547,386,527,1603,1192,284,299,53.305,49.014,53.940,61.415,120.255,127.252,17.355,23.967,69.013,54.734,11.487,12.126
Susd1,0,-7.26456370658986,1.2065354854635e-9,2.08691059970857,1.97989192581303e-11,108,103,30,13,0,0,289,266,14,11,115,115,5.296,4.745,1.245,0.574,0.000,0.000,12.994,12.097,0.603,0.505,4.651,4.664
Lax1,0,2.58556862722143,1.24048937483657e-9,1.19606690802625,2.04227013666755e-11,11,5,30,52,228,197,2,6,32,40,0,0,0.539,0.230,1.245,2.294,10.590,9.842,0.090,0.273,1.378,1.837,0.000,0.000
Lrp8,0,-1.2896346234317,1.24048937483657e-9,4.86476782069304,2.0447376280466e-11,261,268,769,668,318,183,686,599,616,713,889,1093,12.799,12.346,31.908,29.472,14.771,9.143,30.843,27.242,26.520,32.740,35.957,44.328
Col9a1,0,-2.87833171259251,1.26312193303189e-9,6.83613206589708,2.08669100383133e-11,825,1603,1818,1461,197,181,3121,3790,245,725,4874,5597,40.457,73.843,75.433,64.460,9.150,9.043,140.323,172.365,10.548,33.291,197.138,226.992
Cacnb3,0,1.01126740254993,1.27153926002166e-9,5.92274014023703,2.10527490713325e-11,1346,1544,1583,1777,2746,3038,1094,1201,1173,928,297,301,66.006,71.125,65.683,78.402,127.547,151.783,49.187,54.620,50.500,42.612,12.013,12.207
Gfpt2,0,-1.33687363404116,1.30914711894376e-9,5.78923246143892,2.17235862483401e-11,1589,2301,3093,2165,1006,756,107,65,2920,3254,45,37,77.922,105.997,128.336,95.520,46.727,37.771,4.811,2.956,125.712,149.418,1.820,1.501
Smad6,0,-1.38739278931692,1.41037280839943e-9,3.29805124609359,2.35070783400766e-11,165,118,493,452,151,156,23,18,700,658,7,7,8.091,5.436,20.456,19.942,7.014,7.794,1.034,0.819,30.137,30.214,0.283,0.284
Rgma,0,1.11751777485123,1.41287745578046e-9,4.14176621709648,2.36008081579281e-11,174,181,614,565,969,1203,137,105,455,330,76,90,8.533,8.338,25.476,24.928,45.008,60.104,6.160,4.775,19.589,15.153,3.074,3.650
Emp3,0,2.17808205109994,1.44868150193377e-9,2.46180901678852,2.42521830597103e-11,19,33,73,136,464,355,6,3,215,206,5,4,0.932,1.520,3.029,6.000,21.552,17.736,0.270,0.136,9.256,9.459,0.202,0.162
Nusap1,0,-2.03527934197688,1.46367158956129e-9,3.14641117376252,2.45569831428657e-11,279,404,194,136,40,28,213,130,181,187,305,217,13.682,18.611,8.050,6.000,1.858,1.399,9.577,5.912,7.792,8.587,12.336,8.801
Podn,0,1.93813535540452,1.55744109182413e-9,0.716085340966275,2.62448221073422e-11,14,11,23,45,107,117,7,7,46,41,4,7,0.687,0.507,0.954,1.985,4.970,5.846,0.315,0.318,1.980,1.883,0.162,0.284
Cavin2,0,1.1236725295714,1.62356363465217e-9,6.49104279570176,2.74188052652911e-11,936,940,2493,2833,4721,5195,276,345,4060,4455,72,65,45.900,43.302,103.441,124.992,219.282,259.550,12.409,15.690,174.792,204.565,2.912,2.636
Gfra2,0,1.86720990217905,1.64532860991267e-9,4.99555343345691,2.78469097670932e-11,124,67,325,337,1012,1048,5,11,4659,2294,2,5,6.081,3.086,13.485,14.868,47.006,52.360,0.225,0.500,200.580,105.336,0.081,0.203
Dlg3,0,1.04362912950898,1.64625087130737e-9,5.31264627127592,2.7923089579186e-11,1505,1544,681,549,1040,1109,1053,1347,728,622,397,405,73.803,71.125,28.256,24.222,48.306,55.407,47.344,61.260,31.342,28.561,16.057,16.425
Aldh1l1,0,2.16815625591546,1.69539909888198e-9,2.95504402777158,2.88814813930739e-11,104,73,30,33,115,127,56,35,21,47,485,539,5.100,3.363,1.245,1.456,5.342,6.345,2.518,1.592,0.904,2.158,19.617,21.860
Trh,0,-4.22256814211326,1.69539909888198e-9,1.12884862201967,2.88221173568873e-11,1,2,71,107,6,2,0,1,136,285,0,0,0.049,0.092,2.946,4.721,0.279,0.100,0.000,0.045,5.855,13.087,0.000,0.000
Tlr2,0,-1.64514042722999,1.97355371725117e-9,6.88514568526994,3.37651303771954e-11,919,1057,6376,5002,1779,1310,2993,3739,1379,1607,2229,2326,45.066,48.691,264.556,220.689,82.631,65.450,134.568,170.045,59.369,73.790,90.156,94.333
Lig1,0,-1.23419789983109,2.1396410493741e-9,5.18715588354768,3.66854089189569e-11,1673,1530,565,470,179,194,1016,604,1060,869,810,828,82.042,70.480,23.443,20.736,8.314,9.693,45.680,27.469,45.635,39.903,32.762,33.580
Prc1,0,-1.55359152715334,2.17642645675893e-9,4.21373074290707,3.73961939477692e-11,546,682,484,379,127,122,433,288,575,626,489,282,26.775,31.417,20.082,16.722,5.899,6.095,19.468,13.098,24.755,28.745,19.778,11.437
Fam110a,0,-1.46135077334406,2.29741030718905e-9,7.06163621557568,3.95595137335618e-11,3397,3950,3288,2932,947,972,5067,5553,2020,1945,2324,2627,166.584,181.959,136.427,129.360,43.987,48.563,227.816,252.544,86.965,89.311,93.998,106.540
Nat2,0,1.94167234740852,2.34666839640796e-9,0.375152246352201,4.0494038703239e-11,56,43,13,18,48,54,19,19,14,16,18,15,2.746,1.981,0.539,0.794,2.230,2.698,0.854,0.864,0.603,0.735,0.728,0.608
Anxa8,0,2.63525466819269,2.54495044287261e-9,3.64086822832302,4.41028609806469e-11,1162,1138,27,84,328,274,107,205,129,129,46,67,56.983,52.423,1.120,3.706,15.235,13.689,4.811,9.323,5.554,5.923,1.861,2.717
Agfg2,0,1.48551492834886,2.54495044287261e-9,3.73195072111099,4.40667704839207e-11,172,215,350,274,803,680,119,152,324,182,144,158,8.435,9.904,14.522,12.089,37.298,33.974,5.350,6.913,13.949,8.357,5.824,6.408
Tnc,0,1.74303048935131,2.56970872261656e-9,6.80443975736726,4.46264585553191e-11,1636,1705,221,234,709,593,2577,3321,2500,1574,4724,4955,80.227,78.542,9.170,10.324,32.932,29.627,115.864,151.035,107.630,72.275,191.071,200.955
