SYMBOL,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Scd1,0,3.2844410158455,0,11.9831496673285,0,9082,9691,4181,2715,6014,5907,46993,45975,1646,1273,268030,296443,445.368,446.422,173.480,119.786,279.340,295.123,2112.842,2090.890,70.864,58.454,10840.959,12022.528
Csn1s2b,0,8.53857417122658,1.27278521163949e-207,10.1727754641639,1.40489187789046e-211,88,62,21,24,1427,1216,311,465,3,5,90958,90464,4.315,2.856,0.871,1.059,66.282,60.753,13.983,21.148,0.129,0.230,3678.961,3668.854
Atp2b2,0,7.35720359340928,1.06914938522741e-174,6.59124947686566,1.57349333710204e-178,9,13,5,5,77,48,63,87,10,13,6688,8723,0.441,0.599,0.207,0.221,3.577,2.398,2.833,3.957,0.431,0.597,270.508,353.770
Ddah1,0,6.2423274374248,5.69004288518504e-174,4.20566699234346,1.04677193516778e-177,27,30,13,23,38,32,27,37,21,16,1624,1408,1.324,1.382,0.539,1.015,1.765,1.599,1.214,1.683,0.904,0.735,65.686,57.103
Slc39a8,0,6.4908050875109,8.34798573839905e-160,5.06346296895038,1.84289026198147e-163,52,54,362,344,324,431,27,49,286,350,2210,2078,2.550,2.488,15.020,15.177,15.049,21.533,1.214,2.228,12.313,16.071,89.387,84.275
Thbs1,0,-4.11929756838111,1.07524474653238e-144,11.5871954943343,2.76931205185131e-148,10794,19111,174383,204218,135571,111311,29844,36069,69768,110230,1263,1112,529.322,880.361,7235.579,9010.133,6297.037,5561.272,1341.810,1640.377,3003.663,5061.555,51.084,45.098
Egf,0,5.34606717500507,2.15628422240755e-127,3.67316152361415,6.34691260872749e-131,14,17,11,9,26,24,38,46,15,12,1065,1071,0.687,0.783,0.456,0.397,1.208,1.199,1.709,2.092,0.646,0.551,43.076,43.435
Slc39a4,0,-4.35666343140528,2.30750743631974e-114,4.27303833200908,7.64103422748359e-118,234,225,122,96,19,21,1984,1871,189,215,70,47,11.475,10.365,5.062,4.236,0.883,1.049,89.202,85.091,8.137,9.872,2.831,1.906
BC006965,0,-3.72917311925463,1.17726483737351e-109,4.67417255640097,4.33152374029035e-113,661,727,600,605,558,603,1472,1304,215,205,76,54,32.414,33.490,24.895,26.693,25.918,30.127,66.182,59.304,9.256,9.413,3.074,2.190
Slc30a2,0,3.18961438423714,6.31514419696292e-103,5.20486660104512,2.55589190796542e-106,88,74,51,29,40,37,476,456,55,66,2640,2656,4.315,3.409,2.116,1.279,1.858,1.849,21.401,20.738,2.368,3.031,106.780,107.717
Ccn2,0,-6.99919764744808,1.38270057273287e-97,9.70331922400243,6.10486289885369e-101,1734,2080,81859,81508,14231,20653,8595,12383,11663,13668,42,61,85.033,95.817,3396.531,3596.147,661.005,1031.856,386.438,563.165,502.117,627.609,1.699,2.474
Acacb,0,4.305442447329,1.84310683024172e-95,6.56844613589804,8.8157727632151e-99,187,285,227,219,259,312,569,537,208,270,6275,7344,9.170,13.129,9.419,9.662,12.030,15.588,25.583,24.422,8.955,12.398,253.804,297.843
Ceacam10,0,3.28396639552778,7.11847290708602e-90,4.95754821815202,3.66675082597609e-93,309,243,20,8,22,25,391,337,3,3,2176,2232,15.153,11.194,0.830,0.353,1.022,1.249,17.580,15.326,0.129,0.138,88.012,90.521
Krt80,0,-4.27970669160137,1.43956113195452e-89,4.28811388373417,7.94489016495008e-93,729,866,209,246,254,193,1004,965,559,529,34,29,35.749,39.893,8.672,10.854,11.798,9.643,45.141,43.887,24.066,24.291,1.375,1.176
Cited1,0,3.52432981814617,1.82638730203216e-87,5.67275652001306,1.07517557056972e-90,5888,5705,31,34,36,32,157,168,113,90,1295,1038,288.739,262.804,1.286,1.500,1.672,1.599,7.059,7.640,4.865,4.133,52.379,42.097
C1qtnf1,0,-4.81118408085829,6.38730621123024e-86,5.17516687067948,3.99515087350212e-89,2368,1680,349,265,100,131,2645,2201,264,220,65,42,116.123,77.390,14.481,11.692,4.645,6.545,118.921,100.099,11.366,10.102,2.629,1.703
Pmvk,0,2.665224273416,1.4982000356956e-85,5.29436522029505,9.9222195969391e-89,476,510,428,401,689,574,506,453,352,375,1837,1947,23.342,23.493,17.759,17.692,32.003,28.678,22.750,20.602,15.154,17.219,74.301,78.962
Ggt1,0,3.00484711666742,3.97058486791076e-82,6.37082593177759,2.77571332610856e-85,1020,1365,2556,2329,1932,1829,417,411,3053,2486,1982,2160,50.019,62.880,106.055,102.756,89.738,91.380,18.749,18.692,131.438,114.152,80.166,87.601
Elovl6,0,3.16782333355979,4.63282681952772e-82,5.70088239988135,3.40912235146821e-85,825,657,549,436,795,773,533,412,457,423,2726,2541,40.457,30.265,22.779,19.236,36.926,38.620,23.964,18.737,19.675,19.423,110.258,103.053
Steap2,0,3.2202817332585,2.49597687856365e-81,4.93080626372824,1.92852991095466e-84,616,596,1016,1087,1160,1097,89,103,623,645,558,559,30.208,27.455,42.156,47.959,53.880,54.808,4.002,4.684,26.821,29.617,22.569,22.671
Gjb1,0,6.0245891744885,4.38117651451321e-81,2.64004070426224,3.54633663193239e-84,14,11,0,0,9,12,16,12,0,2,537,605,0.687,0.507,0.000,0.000,0.418,0.600,0.719,0.546,0.000,0.092,21.720,24.536
Prss35,0,6.80882627239551,9.60432283901784e-79,0.515291496526122,8.12757736846132e-82,1,6,2,1,3,2,1,3,5,2,153,142,0.049,0.276,0.083,0.044,0.139,0.100,0.045,0.136,0.215,0.092,6.188,5.759
Rspo1,0,-6.5278169578331,1.02499482097385e-76,6.23235718535618,9.05105990042769e-80,2528,1901,758,343,151,137,8988,5553,67,43,50,47,123.969,87.571,31.451,15.133,7.014,6.845,404.107,252.544,2.884,1.974,2.022,1.906
Slc33a1,0,2.59128773742765,1.449356522301e-76,4.67199147631082,1.33315843325821e-79,329,343,414,396,454,511,324,266,281,291,1088,1121,16.134,15.801,17.178,17.472,21.088,25.530,14.567,12.097,12.098,13.362,44.006,45.463
Dtx4,0,-4.73171253560428,2.08058228732691e-76,3.86979318571907,1.99032854301114e-79,968,1025,255,180,113,123,707,542,182,174,16,13,47.469,47.217,10.581,7.942,5.249,6.145,31.787,24.650,7.835,7.990,0.647,0.527
Apod,0,7.04422165203431,4.71361363770963e-76,3.83673580643019,4.68256993333677e-79,449,545,131,125,99,69,9,10,90,136,579,1002,22.018,25.106,5.436,5.515,4.598,3.447,0.405,0.455,3.875,6.245,23.419,40.637
Tor3a,0,3.48913702474176,6.91338956190077e-76,5.12325110266863,7.12222332437623e-79,563,598,577,608,588,423,189,258,515,468,1579,1567,27.609,27.547,23.941,26.825,27.312,21.134,8.498,11.734,22.172,21.490,63.866,63.551
Pthlh,0,6.45444054217903,8.38433402108651e-76,4.24285255692396,8.94608655989951e-79,8,16,376,349,678,969,9,7,957,643,358,527,0.392,0.737,15.601,15.398,31.492,48.413,0.405,0.318,41.201,29.525,14.480,21.373
Fasn,0,2.4392321598079,1.45186731789262e-75,11.0457425433711,1.60256151943701e-78,7828,7120,7960,5536,5924,5211,42276,34806,9737,7287,120727,138746,383.874,327.987,330.280,244.249,275.160,260.350,1900.762,1582.937,419.199,334.605,4883.022,5626.976
Rbp1,0,-5.40154020835278,1.14806963581847e-74,6.81833702983037,1.30947270725091e-77,1872,2198,3529,2911,1396,1373,4713,3816,6055,5616,81,44,91.800,101.252,146.427,128.434,64.842,68.597,211.900,173.547,260.681,257.876,3.276,1.784
Slc1a3,0,4.13441113282241,8.23617239698793e-74,3.64387163256926,9.69710131732638e-77,4,7,619,456,266,233,43,46,174,190,518,458,0.196,0.322,25.684,20.119,12.355,11.641,1.933,2.092,7.491,8.724,20.951,18.575
Ctsc,0,3.3886005024995,9.39478703112658e-74,5.93633075565979,1.14068940000433e-76,1291,1069,607,563,474,456,429,527,736,823,2880,3389,63.309,49.244,25.186,24.840,22.016,22.782,19.288,23.967,31.686,37.791,116.487,137.444
Tnr,0,8.05900937259789,7.34238457670507e-73,0.191153366809414,9.18507213686937e-76,8,10,6,4,3,9,0,1,13,6,102,102,0.392,0.461,0.249,0.176,0.139,0.450,0.000,0.045,0.560,0.276,4.126,4.137
Gm3500,0,4.77863669772846,1.42103661021178e-72,3.57967025278016,1.82995258682852e-75,57,35,462,417,368,333,12,25,371,364,326,312,2.795,1.612,19.170,18.398,17.093,16.637,0.540,1.137,15.972,16.714,13.186,12.653
Ptgs1,0,4.11711422536541,8.45664447043371e-71,5.16848060915047,1.12012657174883e-73,163,185,131,130,103,96,198,258,215,349,2450,2509,7.993,8.522,5.436,5.736,4.784,4.796,8.902,11.734,9.256,16.025,99.095,101.755
Gm16440,0,6.81259685997982,9.62452986859994e-71,0.954865967626842,1.31023071171933e-73,0,1,13,9,10,11,1,4,10,9,175,191,0.000,0.046,0.539,0.397,0.464,0.550,0.045,0.182,0.431,0.413,7.078,7.746
Acat2,0,2.48213212219927,1.77403501315119e-70,4.87757799095163,2.4803462415742e-73,323,356,436,352,477,383,412,352,475,415,1387,1266,15.839,16.399,18.091,15.530,22.156,19.135,18.524,16.009,20.450,19.056,56.100,51.344
Lao1,0,4.41087174695506,4.47117253958554e-70,11.3153297300596,6.41582578622599e-73,355,776,518,378,1570,1670,12061,16669,5,18,190454,193519,17.409,35.747,21.493,16.677,72.924,83.436,542.272,758.087,0.215,0.827,7703.257,7848.347
Slc7a4,0,2.67123287632891,3.44227167958691e-69,4.46316422435908,5.06607554301028e-72,468,556,43,34,31,38,341,323,77,66,1206,1428,22.950,25.612,1.784,1.500,1.440,1.899,15.332,14.690,3.315,3.031,48.779,57.914
Adamts5,0,3.86658922335128,7.63471268731691e-69,5.01548395511762,1.15170985017842e-71,24,36,227,279,518,447,183,207,715,603,1423,2133,1.177,1.658,9.419,12.310,24.060,22.333,8.228,9.414,30.782,27.689,57.556,86.506
Insig1,0,4.09737319749088,1.04224290531249e-66,6.65844246602115,1.61058913216545e-69,541,451,651,437,1173,989,761,437,668,527,5858,6776,26.530,20.776,27.012,19.281,54.484,49.412,34.215,19.874,28.759,24.199,236.937,274.807
Cyp1b1,0,-4.37396530763955,2.96513419884401e-66,6.31426220555082,4.69115017293839e-69,464,508,4204,3799,1616,1961,1284,1853,4017,3880,34,61,22.754,23.401,174.434,167.613,75.060,97.975,57.730,84.272,172.941,178.162,1.375,2.474
Tc2n,0,3.28518049644446,8.07455195085329e-66,4.71624305088529,1.30718674652322e-68,196,298,27,22,42,33,283,322,23,41,1808,1878,9.612,13.728,1.120,0.971,1.951,1.649,12.724,14.644,0.990,1.883,73.128,76.164
Mfsd4a,0,2.54547799537404,5.29166998948128e-65,4.34966739541552,8.7613653749828e-68,304,354,318,321,241,200,280,230,318,273,882,968,14.908,16.307,13.195,14.163,11.194,9.992,12.589,10.460,13.691,12.536,35.674,39.258
Osbpl1a,0,2.53398190382358,5.67595381555693e-64,6.08604027159123,9.60645629035721e-67,744,830,1005,841,897,832,951,838,613,761,3167,3275,36.485,38.234,41.700,37.105,41.664,41.568,42.758,38.111,26.391,34.944,128.095,132.821
Krt14,0,-4.20579374122417,2.04896730755519e-62,11.1459411050081,3.54323056238618e-65,466,997,113865,132259,109046,88125,4812,5491,105185,116746,202,147,22.852,45.927,4724.539,5835.289,5064.997,4402.863,216.351,249.724,4528.441,5360.758,8.170,5.962
Acss2,0,2.54245539475899,4.28928529223026e-62,5.09479599716784,7.57517546734804e-65,219,218,290,225,320,375,558,515,186,150,1753,2138,10.739,10.042,12.033,9.927,14.863,18.736,25.088,23.422,8.008,6.888,70.903,86.709
Gsdmc,0,4.82786402952598,2.43316696424548e-61,3.16488034695933,4.38666548614845e-64,0,1,3,3,13,7,34,54,2,0,849,720,0.000,0.046,0.124,0.132,0.604,0.350,1.529,2.456,0.086,0.000,34.339,29.200
Car4,0,6.02579222040757,2.68276640478559e-61,4.78309153679821,4.93536628423708e-64,6,9,8,8,38,28,29,80,14,15,2726,1773,0.294,0.415,0.332,0.353,1.765,1.399,1.304,3.638,0.603,0.689,110.258,71.906
Lgals12,0,2.35389122511968,5.1255670310487e-61,4.89001722215378,9.61786373978011e-64,309,275,107,70,26,27,612,563,46,45,1858,1880,15.153,12.668,4.440,3.088,1.208,1.349,27.516,25.605,1.980,2.066,75.150,76.245
Acot1,0,-3.53357778557284,7.22719068248834e-61,6.69656464003286,1.38273636075424e-63,2259,2587,1272,953,185,255,7855,9689,961,851,535,414,110.778,119.172,52.778,42.047,8.593,12.740,353.167,440.645,41.373,39.076,21.639,16.790
Plb1,0,-4.44434087088286,2.84898760696911e-60,4.35628040914511,5.55562541555476e-63,1776,1785,78,53,24,18,1283,838,76,81,45,15,87.092,82.227,3.236,2.338,1.115,0.899,57.685,38.111,3.272,3.719,1.820,0.608
Acat3,0,2.56691933198337,4.23696973166702e-59,4.10000725958575,8.57402168003555e-62,204,206,264,222,261,201,237,193,289,268,802,781,10.004,9.490,10.954,9.795,12.123,10.042,10.656,8.777,12.442,12.306,32.438,31.674
Ecscr,0,-3.834304391823,4.74435025010753e-59,4.94240621514878,9.77532705419705e-62,610,469,1175,1407,1463,1231,824,695,377,389,37,29,29.914,21.605,48.754,62.077,67.954,61.503,37.048,31.608,16.231,17.862,1.497,1.176
Pcp4,0,9.3438396818356,1.00308290542515e-58,3.9720830648313,2.10367289485388e-61,22,76,200,261,224,225,4,1,6,20,842,1266,1.079,3.501,8.298,11.515,10.404,11.241,0.180,0.045,0.258,0.918,34.056,51.344
Lgr6,0,-4.26370872833165,1.55287422034975e-58,6.18777101618407,3.31383438611742e-61,1033,1043,3894,2988,2139,2178,1165,620,3756,3081,26,31,50.657,48.046,161.572,131.831,99.353,108.816,52.379,28.197,161.704,141.474,1.052,1.257
Trip6,0,-2.35583650622404,1.1591814718163e-57,5.85239522318299,2.51634375205717e-60,1545,1783,2101,1904,1470,1402,1472,1524,1765,1497,186,179,75.765,82.135,87.176,84.005,68.279,70.046,66.182,69.310,75.987,68.739,7.523,7.260
Deptor,0,2.85070316351702,4.91385647104661e-56,4.345901777423,1.08477643865777e-58,170,196,299,349,698,544,185,149,412,336,700,797,8.337,9.029,12.406,15.398,32.421,27.179,8.318,6.776,17.737,15.428,28.313,32.323
Asah1,0,2.44194847315243,1.08408381445017e-55,6.33250728203309,2.43309587113066e-58,1428,1270,1237,1208,1660,1560,816,952,1429,1345,2919,3090,70.027,58.503,51.326,53.297,77.104,77.940,36.688,43.296,61.522,61.760,118.064,125.318
Steap1,0,3.90126463549745,1.38742899846041e-55,2.90640216446058,3.16496552134168e-58,116,145,20,17,19,9,67,52,17,10,522,584,5.688,6.680,0.830,0.750,0.883,0.450,3.012,2.365,0.732,0.459,21.113,23.685
Mex3a,0,-3.29305008003885,1.59480439403985e-55,5.27345747296529,3.6967024844369e-58,1214,1266,1281,840,628,660,918,773,2258,1736,63,44,59.533,58.319,53.152,37.061,29.170,32.975,41.274,35.155,97.212,79.714,2.548,1.784
Kcnk6,0,2.41082275135556,1.70558487513897e-55,5.90292799910736,4.01624165748901e-58,55,81,88,68,64,58,1261,1148,55,52,3610,4361,2.697,3.731,3.651,3.000,2.973,2.898,56.696,52.210,2.368,2.388,146.013,176.865
Gm13889,0,-3.45935466241765,2.15796032120885e-55,5.90951777101111,5.16087497253671e-58,2389,2736,1701,1706,468,400,2613,2697,1069,1471,183,118,117.153,126.036,70.579,75.269,21.738,19.985,117.483,122.656,46.023,67.546,7.402,4.786
Kctd11,0,-3.11310769879798,6.15952923242447e-55,6.44325099575907,1.49574645623465e-57,2699,3034,2538,2493,1525,1201,988,1171,6193,4994,85,71,132.355,139.763,105.308,109.992,70.834,60.004,44.421,53.256,266.622,229.315,3.438,2.879
Lpo,0,3.45434263311086,8.32808876972404e-55,4.86040782778792,2.05298924747603e-57,7,14,51,40,52,60,270,351,102,50,2291,1975,0.343,0.645,2.116,1.765,2.415,2.998,12.139,15.963,4.391,2.296,92.664,80.098
Gpr146,0,2.98236272208483,1.2668361855871e-54,4.05430865890185,3.16953753338692e-57,204,253,360,380,495,408,104,106,401,411,467,568,10.004,11.655,14.937,16.766,22.992,20.384,4.676,4.821,17.264,18.872,18.889,23.036
Sardh,0,2.16715365766916,2.35336697259432e-54,5.09838990949854,5.97455098086789e-57,259,300,1514,1143,662,696,390,337,618,595,987,1043,12.701,13.820,62.820,50.429,30.749,34.773,17.535,15.326,26.606,27.321,39.921,42.300
Dnajc6,0,2.80210084949808,4.8918511300485e-54,3.94393904325502,1.25990499688508e-56,337,310,7,10,14,15,220,238,17,6,978,1016,16.526,14.280,0.290,0.441,0.650,0.749,9.891,10.824,0.732,0.276,39.557,41.205
2310057J18Rik,0,6.78638756717748,5.69452839867913e-54,-0.476050840491751,1.48758790355134e-56,1,3,0,0,1,0,2,0,0,0,62,91,0.049,0.138,0.000,0.000,0.046,0.000,0.090,0.000,0.000,0.000,2.508,3.691
Ikzf4,0,2.37764628543687,7.93932233541172e-54,5.85908764247717,2.10320912524244e-56,816,909,2176,2072,2097,1977,238,200,2053,2264,669,746,40.015,41.874,90.288,91.417,97.402,98.774,10.701,9.096,88.386,103.959,27.059,30.255
Sertad4,0,-2.83465098921943,1.13111215916993e-53,5.43649527664547,3.0380509812504e-56,1180,1261,1423,1082,1036,1229,1947,1376,830,661,146,142,57.866,58.089,59.044,47.738,48.120,61.403,87.539,62.579,35.733,30.352,5.905,5.759
Gprc5b,0,2.49196048402109,5.0682093124253e-53,6.38264995701258,1.37991643960216e-55,229,245,2105,2071,1980,2424,761,733,2303,2150,2339,2897,11.230,11.286,87.342,91.373,91.968,121.107,34.215,33.336,99.149,98.724,94.605,117.491
Eef2k,0,1.89011299242287,1.0734004089149e-52,6.21562074321404,2.96203063646998e-55,716,767,1626,1486,1536,1515,1170,1099,1229,1116,2544,2692,35.112,35.332,67.467,65.563,71.345,75.692,52.604,49.981,52.911,51.245,102.897,109.177
Stard13,0,3.65856583147707,1.41802906846057e-52,3.5291838988597,3.965201412966e-55,190,213,155,124,73,93,86,64,221,279,524,653,9.317,9.812,6.431,5.471,3.391,4.646,3.867,2.911,9.515,12.811,21.194,26.483
Orm2,0,4.92016011843084,1.86918975239602e-52,0.642338370493916,5.29554475641097e-55,11,16,17,18,9,16,7,6,8,7,135,114,0.539,0.737,0.705,0.794,0.418,0.799,0.315,0.273,0.344,0.321,5.460,4.623
Flna,0,-1.71101458654674,2.83526684891639e-52,11.5011504759724,8.13682674916216e-55,7934,8244,149615,151692,179600,161662,6498,8269,93170,74708,1339,1489,389.072,379.765,6207.894,6692.677,8342.108,8076.886,292.155,376.065,4011.169,3430.452,54.158,60.388
Etv5,0,3.37548628640654,4.36352048911105e-52,5.8714759005242,1.26832524610829e-54,257,269,4024,2831,2210,2712,73,57,1839,1569,485,354,12.603,12.392,166.966,124.904,102.651,135.496,3.282,2.592,79.173,72.046,19.617,14.357
Prss22,0,-5.55568820339671,1.13258420602635e-51,5.35383716500806,3.33370383318401e-54,1950,3257,365,227,84,48,2890,2425,225,373,46,24,95.625,150.036,15.145,10.015,3.902,2.398,129.937,110.286,9.687,17.127,1.861,0.973
Tbc1d9,0,-2.25100520373522,2.68781980650306e-51,6.5011866406211,8.010353741004e-54,1381,1565,3368,2654,2657,2286,2775,2580,3162,2869,373,327,67.722,72.093,139.747,117.095,123.413,114.212,124.766,117.335,136.131,131.739,15.087,13.262
Ly6a,0,3.04302786430818,5.8207199438792e-51,5.48165744699086,1.7561317024103e-53,3762,3168,125,133,137,118,230,291,555,694,1375,1314,184.483,145.936,5.187,5.868,6.363,5.895,10.341,13.234,23.894,31.867,55.614,53.291
Slc25a1,0,4.11771743845711,5.88186317306774e-51,7.48562934921932,1.79622003519122e-53,899,865,575,499,705,754,1163,1090,846,629,10983,13371,44.086,39.847,23.858,22.016,32.746,37.671,52.289,49.572,36.422,28.883,444.227,542.274
Fam83a,0,-3.45207456111026,9.40673235411337e-51,4.48890837061771,2.90726486532074e-53,1217,1177,564,702,510,466,859,662,122,145,55,31,59.680,54.219,23.402,30.972,23.689,23.282,38.621,30.107,5.252,6.658,2.225,1.257
Plscr2,0,-3.67494059577919,3.97403949736745e-50,5.32168356775355,1.24284689383801e-52,1663,1246,477,542,252,190,2559,3406,130,162,147,146,81.551,57.398,19.792,23.913,11.705,9.493,115.055,154.901,5.597,7.439,5.946,5.921
Spp1,0,2.30136760105008,4.05363615323416e-50,12.9454534609736,1.28265465682379e-52,30008,30907,5243,3503,3673,3573,143968,182889,542,557,473398,536990,1471.549,1423.751,217.545,154.553,170.604,178.513,6472.914,8317.582,23.334,25.576,19147.440,21778.141
Cttnbp2nl,0,-2.81242439957084,6.10681201782341e-50,6.38154622957348,1.95479099875138e-52,2399,3346,1638,1663,2296,2072,2426,2163,2914,3201,236,170,117.644,154.136,67.965,73.372,106.645,103.520,109.075,98.371,125.454,146.984,9.545,6.895
Hsp90ab1,0,-1.04078917195728,6.95320710909571e-50,11.0522111467841,2.25130514588624e-52,70149,73682,66438,54534,42698,38904,51606,44490,77301,70424,14576,14443,3440.006,3394.209,2756.676,2406.049,1983.248,1943.705,2320.246,2023.354,3327.975,3233.738,589.553,585.750
F2rl1,0,-2.74046121556396,1.214075893507e-49,5.61013215625241,3.97559713463053e-52,2373,2777,287,249,508,542,1377,1318,3061,2108,143,108,116.369,127.924,11.908,10.986,23.596,27.079,61.911,59.941,131.783,96.795,5.784,4.380
Tbc1d24,0,2.16326968043921,1.80226772253606e-49,5.15755649729077,5.96799348865835e-52,308,350,443,369,354,330,748,554,294,263,1641,1973,15.104,16.123,18.381,16.280,16.443,16.487,33.631,25.195,12.657,12.076,66.373,80.017
Lipg,0,3.32530501486984,4.29519123671325e-49,6.34114014776149,1.43810442820157e-51,199,165,2393,2664,3153,2025,244,188,4142,4261,1504,1182,9.759,7.601,99.291,117.536,146.451,101.172,10.970,8.550,178.322,195.657,60.832,47.937
Ttc28,0,-3.72528049515737,2.51876948163348e-48,6.43390111354591,8.52594989919717e-51,766,920,4489,4134,4684,4039,365,380,2551,3070,17,18,37.564,42.380,186.260,182.393,217.564,201.795,16.411,17.282,109.826,140.969,0.688,0.730
Net1,0,2.07214113641726,9.80802980000292e-48,5.97308276429901,3.35607186210042e-50,379,436,2473,2159,1935,2153,509,431,2010,1625,1266,1190,18.586,20.085,102.611,95.255,89.877,107.567,22.885,19.601,86.535,74.617,51.206,48.262
Tgfb2,0,-2.26940775358062,4.90687689356707e-47,5.62789728943822,1.69706916367528e-49,1286,1099,1264,1252,698,665,2795,2634,519,579,330,371,63.064,50.626,52.446,55.238,32.421,33.224,125.665,119.791,22.344,26.587,13.347,15.046
Orm1,0,4.41533340891479,6.11654818885937e-47,3.01438904685276,2.13794502351684e-49,2,4,20,36,43,43,37,62,4,2,660,668,0.098,0.184,0.830,1.588,1.997,2.148,1.664,2.820,0.172,0.092,26.695,27.091
Acadsb,0,1.87739915769921,9.92132322276515e-47,6.46976449993321,3.50434905399557e-49,1050,1145,1510,1345,1951,1781,1464,1349,1340,1294,3054,3378,51.490,52.745,62.654,59.342,90.621,88.982,65.823,61.351,57.690,59.418,123.525,136.998
Arhgef28,0,-3.46290108343343,1.01845243398507e-46,4.52116021394056,3.63478737615628e-49,289,367,398,477,815,1080,685,510,966,894,34,33,14.172,16.906,16.514,21.045,37.855,53.958,30.798,23.194,41.588,41.051,1.375,1.338
Cela2a,0,4.25509922254597,1.73946441279366e-46,-0.156394288666612,6.27203033422048e-49,9,27,1,0,0,0,8,5,0,0,90,67,0.441,1.244,0.041,0.000,0.000,0.000,0.360,0.227,0.000,0.000,3.640,2.717
Plpp1,0,3.14630892140444,2.03717756205775e-46,4.98014477841213,7.42045618469102e-49,138,152,1549,1792,1160,1092,34,36,1337,1412,190,197,6.767,7.002,64.272,79.063,53.880,54.558,1.529,1.637,57.561,64.836,7.685,7.990
Noxo1,0,-2.41205410967568,2.54739936418174e-46,4.21573386881449,9.37267509541095e-49,506,503,582,524,328,335,897,684,347,317,97,87,24.814,23.171,24.149,23.119,15.235,16.737,40.330,31.108,14.939,14.556,3.923,3.528
Prkaa2,0,2.58416223968718,3.18409348289795e-46,6.00686726139,1.1832423627532e-48,711,613,306,235,363,316,1061,991,227,136,3495,4166,34.866,28.238,12.697,10.368,16.861,15.788,47.703,45.070,9.773,6.245,141.362,168.956
Fosl1,0,-2.79047717042786,3.60307615341344e-46,5.51285036433967,1.35219753356699e-48,1297,1615,1581,1283,1409,1244,793,785,1599,1829,85,57,63.603,74.396,65.600,56.606,65.446,62.152,35.654,35.701,68.840,83.984,3.438,2.312
Sectm1a,0,2.31389040057407,3.77088598563756e-46,5.6312124430566,1.42904910600342e-48,592,506,191,131,62,60,971,928,257,268,3170,2710,29.031,23.309,7.925,5.780,2.880,2.998,43.657,42.204,11.064,12.306,128.216,109.907
Bhlha15,0,2.85055210954721,9.71562502955626e-46,4.08754022425466,3.71766806385022e-48,67,92,14,16,22,23,339,208,19,19,1255,1182,3.286,4.238,0.581,0.706,1.022,1.149,15.242,9.460,0.818,0.872,50.761,47.937
Rap2b,0,-3.51367495420865,1.04998594267376e-45,5.25012567834919,4.05638632697099e-48,993,1649,1145,757,692,555,1818,1550,771,859,108,75,48.695,75.962,47.509,33.399,32.142,27.729,81.739,70.492,33.193,39.444,4.368,3.042
Cdr2l,0,2.35416886815749,1.24970227809411e-45,5.12306315026183,4.87392624739598e-48,323,379,1035,854,845,739,256,288,1237,1353,960,777,15.839,17.459,42.945,37.679,39.249,36.922,11.510,13.098,53.256,62.127,38.829,31.512
Ttyh1,0,4.53082762889713,1.5615285127769e-45,2.13491855061325,6.14752385544458e-48,10,23,4,4,9,12,23,30,20,16,393,375,0.490,1.060,0.166,0.176,0.418,0.600,1.034,1.364,0.861,0.735,15.896,15.208
Chadl,0,-5.33151678459348,1.56220280111753e-45,5.53037821174769,6.20765673941991e-48,610,323,3118,2026,421,459,924,648,3381,2245,14,10,29.914,14.879,129.373,89.387,19.555,22.932,41.544,29.470,145.559,103.086,0.566,0.406
Pds5b,0,1.92501101208469,5.38274030137983e-45,5.91575071689102,2.17852545403356e-47,950,1024,1686,1269,1189,1182,740,636,1813,1689,1694,1553,46.587,47.171,69.956,55.988,55.227,59.055,33.271,28.925,78.054,77.556,68.517,62.983
Drd4,0,3.26540324169052,5.38274030137983e-45,3.48921908953919,2.16667688183215e-47,6,3,19,10,8,9,137,158,2,11,947,826,0.294,0.138,0.788,0.441,0.372,0.450,6.160,7.186,0.086,0.505,38.303,33.499
Muc4,0,-2.51599678953324,8.13816580639131e-45,6.05402932875902,3.32365578023266e-47,1936,2900,219,159,1,1,5587,5457,42,44,605,598,94.939,133.590,9.087,7.015,0.046,0.050,251.196,248.178,1.808,2.020,24.470,24.252
Gm4070,0,4.85854429664552,8.73451666934019e-45,4.46229233282363,3.59934459312742e-47,216,358,205,213,296,160,48,54,700,1202,882,969,10.592,16.492,8.506,9.398,13.749,7.994,2.158,2.456,30.137,55.194,35.674,39.299
Nid2,0,4.8665413279143,2.27603894535593e-44,2.23697909241787,9.46290889382316e-47,38,35,138,129,179,154,9,6,113,131,141,135,1.863,1.612,5.726,5.692,8.314,7.694,0.405,0.273,4.865,6.015,5.703,5.475
Ppl,0,-3.62623596442655,2.81173372584487e-44,6.96223823937022,1.17935775689435e-46,4582,6298,1464,1499,2574,2565,6694,7036,986,789,327,367,224.695,290.121,60.745,66.136,119.558,128.151,300.967,319.989,42.449,36.229,13.226,14.884
