SYMBOL,luminal.pregnant,luminal.lactation,FDR,AveExpr,P value,MCL1.LA,MCL1.LB,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LC,MCL1.LD,MCL1.DG,MCL1.DH,MCL1.LE,MCL1.LF,MCL1.LA CPM,MCL1.LB CPM,MCL1.DI CPM,MCL1.DJ CPM,MCL1.DK CPM,MCL1.DL CPM,MCL1.LC CPM,MCL1.LD CPM,MCL1.DG CPM,MCL1.DH CPM,MCL1.LE CPM,MCL1.LF CPM
Prom2,0,1.24193762971414,5.73958895979947e-9,6.00862917924431,3.77854852172309e-10,4035,4582,908,884,581,822,895,509,1688,1512,1030,1015,197.871,211.073,37.675,39.002,26.986,41.068,40.240,23.149,72.672,69.428,41.660,41.164
Cxcl2,0,2.21554814644985,5.73958895979947e-9,7.4926197830181,3.78007440966961e-10,6029,5273,1185,963,239,189,2081,3937,514,820,8280,9406,295.654,242.904,49.169,42.488,11.101,9.443,93.563,179.050,22.129,37.653,334.900,381.469
Sorbs2,0,-1.22357371575447,5.7401526981951e-9,5.25661158942974,3.7825576667528e-10,2272,2108,520,579,860,672,1006,1339,388,467,315,315,111.416,97.106,21.576,25.546,39.946,33.574,45.231,60.896,16.704,21.444,12.741,12.775
Pstpip2,0,1.44243767944074,5.76885494377679e-9,3.25076504661104,3.80359397301152e-10,203,205,31,20,11,15,277,306,60,27,458,532,9.955,9.443,1.286,0.882,0.511,0.749,12.454,13.917,2.583,1.240,18.525,21.576
Agt,0,2.03900430562943,5.785019505778e-9,2.66946124362117,3.8163802839913e-10,384,585,71,85,32,36,62,48,66,110,114,167,18.831,26.948,2.946,3.750,1.486,1.799,2.788,2.183,2.841,5.051,4.611,6.773
Runx1,0,-1.38286530743289,6.08694491063746e-9,8.73231376959824,4.0222793552025e-10,5254,6671,20860,18584,13520,12967,4056,3796,18453,21091,1001,873,257.649,307.304,865.533,819.929,627.980,647.852,182.361,172.638,794.441,968.459,40.487,35.405
Tgif1,0,-1.6926394409728,6.10875946358693e-9,7.72915945850156,4.03894210826951e-10,7345,7858,5852,6051,3164,2204,7018,7921,5333,5148,1678,1211,360.188,361.984,242.814,266.971,146.962,110.115,315.535,360.238,229.597,236.387,67.870,49.113
Kl,0,2.26047468092195,6.20831355804426e-9,1.2126783035895,4.10704874254519e-10,1,1,1,1,0,0,48,78,6,2,197,183,0.049,0.046,0.041,0.044,0.000,0.000,2.158,3.547,0.258,0.092,7.968,7.422
Nuak1,0,-1.39301983189481,6.27839260070958e-9,4.53019590856255,4.15571885966243e-10,334,325,816,677,744,856,146,174,1509,1197,41,35,16.379,14.971,33.858,29.869,34.558,42.767,6.564,7.913,64.966,54.964,1.658,1.419
Il18bp,0,1.49538727364003,6.31481869779073e-9,2.60686361622844,4.18447642471066e-10,141,204,96,66,60,50,124,146,71,74,232,244,6.914,9.397,3.983,2.912,2.787,2.498,5.575,6.640,3.057,3.398,9.384,9.896
NA,0,2.28238279615967,6.38213068309018e-9,-0.696235831839512,4.2314284892485e-10,2,0,13,10,6,10,6,11,22,11,29,23,0.098,0.000,0.539,0.441,0.279,0.500,0.270,0.500,0.947,0.505,1.173,0.933
Edar,0,2.09690308383869,6.56512248835061e-9,2.70169908032626,4.35758525662625e-10,17,8,227,159,76,121,28,38,582,391,86,91,0.834,0.369,9.419,7.015,3.530,6.045,1.259,1.728,25.056,17.954,3.478,3.691
Socs5,0,-1.21592059796402,6.80187655212579e-9,5.79411770627302,4.51973547707391e-10,1506,2163,1744,1908,1622,1227,540,616,2544,2501,155,156,73.852,99.640,72.363,84.181,75.339,61.303,24.279,28.015,109.525,114.841,6.269,6.327
Dcbld2,0,1.13746479439741,7.06325188609797e-9,4.92906360387924,4.70121147281034e-10,275,290,1438,1284,1471,1339,105,75,1203,1056,108,138,13.486,13.359,59.666,56.650,68.325,66.899,4.721,3.411,51.792,48.490,4.368,5.597
St3gal1,0,1.80136623877913,7.11496566613579e-9,7.36647989091888,4.73824933062503e-10,4959,5192,4023,3012,1532,1221,2564,2347,1999,3396,5395,5255,243.182,239.173,166.924,132.890,71.159,61.003,115.279,106.739,86.061,155.938,218.211,213.122
Selenos,0,1.17618233551932,7.22893508888697e-9,4.75799728838183,4.81946737593848e-10,452,412,420,262,284,293,868,550,418,486,982,996,22.165,18.979,17.427,11.559,13.191,14.639,39.026,25.013,17.996,22.316,39.719,40.394
Gm10280,0,8.39098896668858,7.38111243499576e-9,-1.88547395573617,4.92363841371916e-10,1,0,0,0,0,0,0,0,0,0,17,31,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.688,1.257
Nrp1,0,2.57272532801628,7.4106322905416e-9,3.46063385338195,4.94605650503789e-10,116,158,175,200,254,245,33,112,388,657,302,248,5.688,7.278,7.261,8.824,11.798,12.241,1.484,5.094,16.704,30.168,12.215,10.058
Wdr45,0,-1.42473788290278,7.44352844872585e-9,4.29721655223207,4.97348970266976e-10,539,618,291,361,352,498,611,872,451,460,181,166,26.432,28.469,12.074,15.927,16.350,24.881,27.471,39.658,19.417,21.122,7.321,6.732
