SYMBOL,MCL1.DG,MCL1.DH,MCL1.DI,MCL1.DJ,MCL1.DK,MCL1.DL,MCL1.LA,MCL1.LB,MCL1.LC,MCL1.LD,MCL1.LE,MCL1.LF
Ogfrl1,372,332,619,396,401,401,3240,2982,7155,5882,2986,2709
Gm19673,0,0,3,0,0,0,3,2,10,6,10,5
B3gat2,56,70,95,77,56,66,49,60,69,84,37,47
Smap1,739,808,850,814,774,736,473,562,599,535,453,439
Sdhaf4,99,73,95,134,89,123,182,148,102,101,112,105
Fam135a,940,840,637,550,836,906,547,575,519,505,310,347
Col9a1,245,725,1818,1461,197,181,825,1603,3121,3790,4874,5597
Col19a1,7,6,3,5,0,0,1,3,1,3,4,1
Lmbrd1,1230,1176,1241,1444,1501,1512,1232,1413,1139,1323,587,513
Adgrb3,1,0,0,0,0,0,0,0,0,0,0,0
Gm20172,0,0,0,0,0,0,0,0,0,0,0,0
4931408C20Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm5524,0,0,0,0,0,0,0,0,0,0,0,0
Gm7846,174,193,168,144,121,97,212,219,208,132,72,84
Gm597,0,0,0,0,0,0,0,0,0,0,0,0
Gm6462,0,0,0,0,0,0,0,0,0,0,0,0
Gm9898,0,0,0,0,0,0,0,0,0,0,0,0
Phf3,2798,2504,1902,1740,2231,2194,2611,2740,1825,1709,802,776
Ptp4a1,2493,2611,2068,1697,1719,1392,2009,1986,1268,1150,681,599
4931428L18Rik,0,0,0,0,0,0,0,0,0,0,0,0
Lgsn,0,0,0,0,0,0,0,0,0,0,0,0
Pih1d3,0,0,0,0,0,0,0,0,0,0,0,0
Gm4850,0,0,0,0,2,0,0,0,2,1,0,0
Gm6489,7,2,3,2,2,1,5,5,5,1,1,1
Khdrbs2,0,4,3,0,0,1,0,0,0,0,0,0
Gm9839,0,0,0,0,0,0,0,0,0,0,0,1
Gm5415,0,0,0,0,0,0,0,0,0,0,0,0
Prim2,425,388,339,275,177,176,537,496,370,239,195,166
1700001G17Rik,9,9,4,11,4,5,2,3,9,3,1,2
Rab23,319,271,245,244,342,354,193,212,48,46,43,46
Bag2,804,1071,2241,1917,1276,1036,534,577,708,600,222,232
Zfp451,543,489,618,548,396,460,492,567,350,295,134,168
Gm15455,222,214,186,160,124,116,183,208,161,114,68,92
Bend6,2,3,1,1,3,0,8,5,3,13,5,8
Dst,31072,36904,16894,27489,56478,44370,7210,6921,4323,5308,3578,3500
Mir5103,1,0,0,0,0,1,0,1,2,0,1,1
Ccdc115,250,216,241,136,90,96,244,289,224,169,115,152
Imp4,782,689,633,472,321,354,969,902,958,762,430,465
D1Ertd448e,281,241,213,148,94,100,373,349,184,152,80,86
Ptpn18,47,53,64,47,15,14,1099,1345,1223,1359,985,1184
Prss39,0,0,0,0,0,0,0,1,2,2,2,0
Cfc1,0,0,0,0,0,0,0,0,0,0,0,0
Prss40,1,1,2,2,2,2,0,0,0,0,0,0
Amer3,0,0,0,0,0,0,0,0,0,0,0,0
AA619741,0,0,0,0,1,0,0,0,0,0,0,0
Arhgef4,181,228,251,169,138,152,70,65,42,43,10,4
